columna,"CUADRO 11 - Defunciones por grupo de edad y sexo, según departamentos de ocurrencia y grupos de causas de defunción  (Lista Colombia 105 para la tabulación de mortalidad)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,año,tipo,hoja_origen
,Año 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro11
,Volver al índice,Departamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro11
,Departamento de ocurrencia | Grupos de causas de defunción (lista colombia 105 para la tabulación de mortalidad),,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2022,defunciones,Cuadro11
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2022,defunciones,Cuadro11
3.0,Total Nacional,TOTAL,287251,159171,128030,50,173,137,2,418,355,1,958,719,2,772,639,1,36,18,0,944,761,1,434,318,0,396,325,0,536,414,0,472,364,0,713,499,0,2820,872,0,5277,1206,1,5512,1333,1,5008,1564,2,4534,1914,2,4634,2495,3,4607,3005,0,5812,4132,1,8232,5832,0,11076,7693,5,13603,9661,0,15942,11609,2,17092,13633,1,18618,17408,6,15656,18500,1,10343,14397,2,3716,6403,0,824,1822,3,13,2,13,2022,defunciones,Cuadro11
3.0,,001 Enfermedades infecciosas intestinales,1170,519,651,0,0,0,0,0,0,0,3,5,0,9,9,0,0,0,0,32,26,0,21,22,0,19,10,0,10,9,0,11,3,0,9,3,0,6,3,0,6,1,0,5,4,0,8,4,0,9,0,0,14,7,0,8,7,0,15,12,0,19,30,0,26,37,0,30,46,0,45,48,0,54,72,0,45,106,0,59,78,0,42,79,0,14,21,0,0,9,0,0,0,0,2022,defunciones,Cuadro11
3.0,,002 Tuberculosis y secuelas,1402,1007,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,3,0,5,3,0,1,0,0,2,3,0,13,12,0,39,18,0,50,13,0,50,23,0,55,14,0,52,17,0,46,16,0,57,18,0,74,34,0,114,35,0,118,36,0,105,43,0,79,34,0,81,35,0,40,30,0,18,2,0,3,5,0,0,0,0,0,0,0,2022,defunciones,Cuadro11
3.0,,003 Ciertas enfermedades transmitidas por vectores y rabia,344,200,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,2,2,0,3,5,0,13,11,0,13,9,0,8,6,0,9,2,0,9,2,0,7,6,0,4,4,0,4,2,0,3,4,0,8,4,0,8,3,0,16,12,0,24,9,0,25,14,0,16,16,0,16,13,0,7,14,0,1,3,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro11
3.0,,004 Ciertas enfermedades inmunoprevenibles,46,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,3,1,0,2,2,0,3,1,0,2,1,0,2,0,0,1,5,0,2,1,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro11
3.0,,"005 Septicemia, excepto neonatal",831,395,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,3,1,0,3,2,0,3,5,0,2,5,0,2,3,0,7,2,0,5,2,0,8,4,0,6,4,0,5,6,0,10,9,0,7,8,0,12,17,0,16,22,0,33,22,0,45,29,0,47,56,0,33,44,0,49,61,0,46,64,0,28,44,0,8,11,0,3,5,0,0,0,0,2022,defunciones,Cuadro11
3.0,,006 Todas las demás enfermedades bacterianas,442,261,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,1,1,0,4,1,0,1,1,0,2,2,0,4,1,0,7,2,0,6,1,0,4,6,0,7,3,0,8,6,0,13,8,0,5,6,0,27,12,0,32,16,0,31,20,0,26,19,0,32,20,0,16,20,0,23,19,0,7,9,0,0,2,0,0,2,0,0,0,0,2022,defunciones,Cuadro11
3.0,,007 Sífilis y otras enfermedades venéreas,52,32,20,0,0,0,0,4,4,0,4,4,0,2,1,0,0,0,0,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,4,2,0,2,0,0,2,0,0,2,0,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11
3.0,,008 Hepatitis viral y secuelas,122,70,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,3,2,0,3,2,0,2,2,0,3,0,0,4,4,0,8,1,0,7,4,0,4,6,0,7,0,0,7,9,0,5,6,0,6,7,0,5,2,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11
3.0,,009 Enfermedad por el VIH (SIDA),2298,1793,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,7,3,0,89,22,0,209,43,0,279,78,0,231,80,0,232,75,0,166,53,0,163,53,0,147,36,0,106,32,0,77,16,0,40,7,0,23,3,0,14,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11
3.0,,010 Todas las demás enfermedades infecciosas y parasitarias,13910,8037,5873,0,0,0,0,1,0,0,1,1,0,1,3,0,0,0,0,25,37,0,22,14,0,12,10,0,14,13,0,10,14,0,17,11,0,19,9,0,36,34,0,63,42,0,75,40,0,73,54,0,93,76,0,130,99,0,194,139,0,282,214,0,493,345,0,673,443,0,926,581,0,1073,715,0,1364,865,0,1227,1030,0,862,726,0,309,290,0,42,68,0,0,0,0,2022,defunciones,Cuadro11
3.0,,"011 Tumores malignos del labio, de la cavidad bucal y de la faringe",872,527,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,2,0,4,3,0,3,7,0,9,8,0,15,8,0,23,16,0,37,21,0,62,31,0,65,30,0,72,43,0,62,36,0,71,42,0,44,47,0,38,23,0,13,18,0,4,6,0,2,3,0,0,0,0,2022,defunciones,Cuadro11
3.0,,012 Tumor maligno del esófago,662,444,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,3,0,3,8,0,4,2,0,12,9,0,34,14,0,46,22,0,80,25,0,73,31,0,76,29,0,56,32,0,37,27,0,17,8,0,2,5,0,0,1,0,0,0,0,2022,defunciones,Cuadro11
