columna,"CUADRO 16 - Diez primeras causas de defunción, según departamento de residencia",columna_1,columna_2,año,tipo,hoja_origen
,Año 2022,,,2022,defunciones,Cuadro16
,Volver al índice,Departamento,,2022,defunciones,Cuadro16
,Departamento de Residencia,Causas de defunción a 3 caracteres CIE-10,Total,2022,defunciones,Cuadro16
3.0,Total Nacional,Total Defunciones,287251,2022,defunciones,Cuadro16
3.0,,I21 Infarto agudo del miocardio,46121,2022,defunciones,Cuadro16
3.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,15060,2022,defunciones,Cuadro16
3.0,,U07 Uso emergente de U07,13391,2022,defunciones,Cuadro16
3.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",9682,2022,defunciones,Cuadro16
3.0,,"J18 Neumonía, organismo no especificado",5527,2022,defunciones,Cuadro16
3.0,,C16 Tumor maligno del estómago,5261,2022,defunciones,Cuadro16
3.0,,C34 Tumor maligno de los bronquios y del pulmón,4447,2022,defunciones,Cuadro16
3.0,,"E14 Diabetes mellitus, no especificada",4344,2022,defunciones,Cuadro16
3.0,,I11 Enfermedad cardíaca hipertensiva,4148,2022,defunciones,Cuadro16
3.0,,I10 Hipertensión esencial (Primaria),3967,2022,defunciones,Cuadro16
5.0,05 Antioquia,Total Defunciones,40141,2022,defunciones,Cuadro16
5.0,,I21 Infarto agudo del miocardio,5727,2022,defunciones,Cuadro16
5.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,2595,2022,defunciones,Cuadro16
5.0,,U07 Uso emergente de U07,1697,2022,defunciones,Cuadro16
5.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",1160,2022,defunciones,Cuadro16
5.0,,C34 Tumor maligno de los bronquios y del pulmón,1107,2022,defunciones,Cuadro16
5.0,,I10 Hipertensión esencial (Primaria),1017,2022,defunciones,Cuadro16
5.0,,"J18 Neumonía, organismo no especificado",979,2022,defunciones,Cuadro16
5.0,,C16 Tumor maligno del estómago,716,2022,defunciones,Cuadro16
5.0,,N39 Otros trastornos del sistema urinario,658,2022,defunciones,Cuadro16
5.0,,"E14 Diabetes mellitus, no especificada",548,2022,defunciones,Cuadro16
8.0,08 Atlántico,Total Defunciones,14963,2022,defunciones,Cuadro16
8.0,,I21 Infarto agudo del miocardio,2402,2022,defunciones,Cuadro16
8.0,,"J18 Neumonía, organismo no especificado",557,2022,defunciones,Cuadro16
8.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,524,2022,defunciones,Cuadro16
8.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",500,2022,defunciones,Cuadro16
8.0,,U07 Uso emergente de U07,484,2022,defunciones,Cuadro16
8.0,,"E14 Diabetes mellitus, no especificada",353,2022,defunciones,Cuadro16
8.0,,I67 Otras enfermedades cerebrovasculares,331,2022,defunciones,Cuadro16
8.0,,C50 Tumor maligno de la mama,281,2022,defunciones,Cuadro16
8.0,,I69 Secuelas de enfermedad cerebrovascular,278,2022,defunciones,Cuadro16
8.0,,I10 Hipertensión esencial (Primaria),254,2022,defunciones,Cuadro16
11.0,11 Bogotá,Total Defunciones,38422,2022,defunciones,Cuadro16
11.0,,I21 Infarto agudo del miocardio,5826,2022,defunciones,Cuadro16
11.0,,U07 Uso emergente de U07,2539,2022,defunciones,Cuadro16
11.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,2006,2022,defunciones,Cuadro16
11.0,,C16 Tumor maligno del estómago,974,2022,defunciones,Cuadro16
11.0,,G30 Enfermedad de alzheimer,668,2022,defunciones,Cuadro16
11.0,,I11 Enfermedad cardíaca hipertensiva,667,2022,defunciones,Cuadro16
11.0,,C18 Tumor maligno del colon,647,2022,defunciones,Cuadro16
11.0,,I25 Enfermedad isquémica crónica del corazón,630,2022,defunciones,Cuadro16
11.0,,C50 Tumor maligno de la mama,592,2022,defunciones,Cuadro16
11.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",591,2022,defunciones,Cuadro16
13.0,13 Bolívar,Total Defunciones,10893,2022,defunciones,Cuadro16
13.0,,I21 Infarto agudo del miocardio,1226,2022,defunciones,Cuadro16
13.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,445,2022,defunciones,Cuadro16
13.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",423,2022,defunciones,Cuadro16
13.0,,"J18 Neumonía, organismo no especificado",342,2022,defunciones,Cuadro16
13.0,,I10 Hipertensión esencial (Primaria),310,2022,defunciones,Cuadro16
13.0,,"E14 Diabetes mellitus, no especificada",284,2022,defunciones,Cuadro16
13.0,,U07 Uso emergente de U07,236,2022,defunciones,Cuadro16
13.0,,I11 Enfermedad cardíaca hipertensiva,192,2022,defunciones,Cuadro16
13.0,,I69 Secuelas de enfermedad cerebrovascular,183,2022,defunciones,Cuadro16
13.0,,C34 Tumor maligno de los bronquios y del pulmón,171,2022,defunciones,Cuadro16
15.0,15 Boyacá,Total Defunciones,7906,2022,defunciones,Cuadro16
15.0,,I21 Infarto agudo del miocardio,1290,2022,defunciones,Cuadro16
15.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,746,2022,defunciones,Cuadro16
15.0,,U07 Uso emergente de U07,318,2022,defunciones,Cuadro16
15.0,,I11 Enfermedad cardíaca hipertensiva,246,2022,defunciones,Cuadro16
15.0,,C16 Tumor maligno del estómago,164,2022,defunciones,Cuadro16
15.0,,E78 Trastornos del metabolismo de las lipoproteínas y otras lipidemias,152,2022,defunciones,Cuadro16
15.0,,I63 Infarto cerebral,132,2022,defunciones,Cuadro16
15.0,,E11 Diabetes mellitus tipo 2,129,2022,defunciones,Cuadro16
15.0,,I61 Hemorragia intraencefálica,111,2022,defunciones,Cuadro16
15.0,,"J15 Neumonía bacteriana, no clasificada en otra parte",110,2022,defunciones,Cuadro16
17.0,17 Caldas,Total Defunciones,7423,2022,defunciones,Cuadro16
17.0,,I21 Infarto agudo del miocardio,1358,2022,defunciones,Cuadro16
17.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,578,2022,defunciones,Cuadro16
17.0,,U07 Uso emergente de U07,269,2022,defunciones,Cuadro16
17.0,,N39 Otros trastornos del sistema urinario,158,2022,defunciones,Cuadro16
17.0,,C16 Tumor maligno del estómago,142,2022,defunciones,Cuadro16
17.0,,"J15 Neumonía bacteriana, no clasificada en otra parte",141,2022,defunciones,Cuadro16
17.0,,"J18 Neumonía, organismo no especificado",127,2022,defunciones,Cuadro16
17.0,,C34 Tumor maligno de los bronquios y del pulmón,122,2022,defunciones,Cuadro16
17.0,,I25 Enfermedad isquémica crónica del corazón,115,2022,defunciones,Cuadro16
17.0,,E11 Diabetes mellitus tipo 2,110,2022,defunciones,Cuadro16
18.0,18 Caquetá,Total Defunciones,2022,2022,defunciones,Cuadro16
18.0,,I21 Infarto agudo del miocardio,354,2022,defunciones,Cuadro16
18.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,101,2022,defunciones,Cuadro16
18.0,,U07 Uso emergente de U07,95,2022,defunciones,Cuadro16
18.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",91,2022,defunciones,Cuadro16
18.0,,"E14 Diabetes mellitus, no especificada",53,2022,defunciones,Cuadro16
18.0,,C16 Tumor maligno del estómago,40,2022,defunciones,Cuadro16
18.0,,"J18 Neumonía, organismo no especificado",39,2022,defunciones,Cuadro16
18.0,,I11 Enfermedad cardíaca hipertensiva,37,2022,defunciones,Cuadro16
18.0,,Y09 Agresión por medios no especificados,33,2022,defunciones,Cuadro16
18.0,,E11 Diabetes mellitus tipo 2,31,2022,defunciones,Cuadro16
19.0,19 Cauca,Total Defunciones,7736,2022,defunciones,Cuadro16
19.0,,I21 Infarto agudo del miocardio,1174,2022,defunciones,Cuadro16
19.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",521,2022,defunciones,Cuadro16
19.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,390,2022,defunciones,Cuadro16
19.0,,U07 Uso emergente de U07,319,2022,defunciones,Cuadro16
19.0,,Y09 Agresión por medios no especificados,220,2022,defunciones,Cuadro16
19.0,,C16 Tumor maligno del estómago,219,2022,defunciones,Cuadro16
19.0,,I10 Hipertensión esencial (Primaria),187,2022,defunciones,Cuadro16
19.0,,"E14 Diabetes mellitus, no especificada",139,2022,defunciones,Cuadro16
19.0,,I63 Infarto cerebral,132,2022,defunciones,Cuadro16
19.0,,I11 Enfermedad cardíaca hipertensiva,118,2022,defunciones,Cuadro16
20.0,20 Cesar,Total Defunciones,5806,2022,defunciones,Cuadro16
20.0,,I21 Infarto agudo del miocardio,730,2022,defunciones,Cuadro16
20.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,271,2022,defunciones,Cuadro16
20.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",247,2022,defunciones,Cuadro16
20.0,,U07 Uso emergente de U07,216,2022,defunciones,Cuadro16
20.0,,"J18 Neumonía, organismo no especificado",144,2022,defunciones,Cuadro16
20.0,,I10 Hipertensión esencial (Primaria),133,2022,defunciones,Cuadro16
20.0,,"E14 Diabetes mellitus, no especificada",101,2022,defunciones,Cuadro16
20.0,,E11 Diabetes mellitus tipo 2,93,2022,defunciones,Cuadro16
20.0,,I67 Otras enfermedades cerebrovasculares,92,2022,defunciones,Cuadro16
20.0,,I11 Enfermedad cardíaca hipertensiva,89,2022,defunciones,Cuadro16
23.0,23 Córdoba,Total Defunciones,8530,2022,defunciones,Cuadro16
23.0,,I21 Infarto agudo del miocardio,1167,2022,defunciones,Cuadro16
23.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,431,2022,defunciones,Cuadro16
23.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",274,2022,defunciones,Cuadro16
23.0,,U07 Uso emergente de U07,256,2022,defunciones,Cuadro16
23.0,,"J18 Neumonía, organismo no especificado",233,2022,defunciones,Cuadro16
23.0,,I61 Hemorragia intraencefálica,177,2022,defunciones,Cuadro16
23.0,,E11 Diabetes mellitus tipo 2,175,2022,defunciones,Cuadro16
23.0,,"E14 Diabetes mellitus, no especificada",173,2022,defunciones,Cuadro16
23.0,,I63 Infarto cerebral,171,2022,defunciones,Cuadro16
23.0,,"V29 Motociclista lesionado en otros accidentes de transporte, y en los no especificados",152,2022,defunciones,Cuadro16
25.0,25 Cundinamarca,Total Defunciones,16883,2022,defunciones,Cuadro16
25.0,,I21 Infarto agudo del miocardio,3532,2022,defunciones,Cuadro16
25.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,1059,2022,defunciones,Cuadro16
25.0,,U07 Uso emergente de U07,704,2022,defunciones,Cuadro16
25.0,,"J18 Neumonía, organismo no especificado",389,2022,defunciones,Cuadro16
25.0,,C16 Tumor maligno del estómago,346,2022,defunciones,Cuadro16
25.0,,"E14 Diabetes mellitus, no especificada",265,2022,defunciones,Cuadro16
25.0,,I11 Enfermedad cardíaca hipertensiva,264,2022,defunciones,Cuadro16
25.0,,I25 Enfermedad isquémica crónica del corazón,249,2022,defunciones,Cuadro16
25.0,,E11 Diabetes mellitus tipo 2,214,2022,defunciones,Cuadro16
25.0,,I10 Hipertensión esencial (Primaria),214,2022,defunciones,Cuadro16
27.0,27 Chocó,Total Defunciones,2081,2022,defunciones,Cuadro16
27.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",235,2022,defunciones,Cuadro16
27.0,,I21 Infarto agudo del miocardio,233,2022,defunciones,Cuadro16
27.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,53,2022,defunciones,Cuadro16
27.0,,U07 Uso emergente de U07,51,2022,defunciones,Cuadro16
27.0,,I10 Hipertensión esencial (Primaria),50,2022,defunciones,Cuadro16
27.0,,"E14 Diabetes mellitus, no especificada",49,2022,defunciones,Cuadro16
27.0,,I67 Otras enfermedades cerebrovasculares,46,2022,defunciones,Cuadro16
27.0,,"J18 Neumonía, organismo no especificado",39,2022,defunciones,Cuadro16
27.0,,I11 Enfermedad cardíaca hipertensiva,33,2022,defunciones,Cuadro16
27.0,,"E46 Desnutrición proteicocalórica, no especificada",30,2022,defunciones,Cuadro16
41.0,41 Huila,Total Defunciones,6972,2022,defunciones,Cuadro16
41.0,,I21 Infarto agudo del miocardio,1450,2022,defunciones,Cuadro16
41.0,,U07 Uso emergente de U07,386,2022,defunciones,Cuadro16
41.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,301,2022,defunciones,Cuadro16
41.0,,C16 Tumor maligno del estómago,189,2022,defunciones,Cuadro16
41.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",178,2022,defunciones,Cuadro16
41.0,,I25 Enfermedad isquémica crónica del corazón,139,2022,defunciones,Cuadro16
41.0,,"E14 Diabetes mellitus, no especificada",130,2022,defunciones,Cuadro16
41.0,,"J18 Neumonía, organismo no especificado",127,2022,defunciones,Cuadro16
41.0,,"V29 Motociclista lesionado en otros accidentes de transporte, y en los no especificados",110,2022,defunciones,Cuadro16
41.0,,E11 Diabetes mellitus tipo 2,97,2022,defunciones,Cuadro16
44.0,44 La Guajira,Total Defunciones,3396,2022,defunciones,Cuadro16
44.0,,I21 Infarto agudo del miocardio,294,2022,defunciones,Cuadro16
44.0,,"J18 Neumonía, organismo no especificado",155,2022,defunciones,Cuadro16
44.0,,U07 Uso emergente de U07,132,2022,defunciones,Cuadro16
44.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",118,2022,defunciones,Cuadro16
44.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,84,2022,defunciones,Cuadro16
44.0,,"E14 Diabetes mellitus, no especificada",62,2022,defunciones,Cuadro16
44.0,,"E43 Desnutrición proteicocalórica severa, no especificada",61,2022,defunciones,Cuadro16
44.0,,P36 Sepsis bacteriana del recién nacido,57,2022,defunciones,Cuadro16
44.0,,C50 Tumor maligno de la mama,56,2022,defunciones,Cuadro16
44.0,,I10 Hipertensión esencial (Primaria),51,2022,defunciones,Cuadro16
47.0,47 Magdalena,Total Defunciones,7058,2022,defunciones,Cuadro16
47.0,,I21 Infarto agudo del miocardio,1032,2022,defunciones,Cuadro16
47.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",393,2022,defunciones,Cuadro16
47.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,317,2022,defunciones,Cuadro16
47.0,,"J18 Neumonía, organismo no especificado",222,2022,defunciones,Cuadro16
47.0,,I10 Hipertensión esencial (Primaria),176,2022,defunciones,Cuadro16
47.0,,U07 Uso emergente de U07,164,2022,defunciones,Cuadro16
47.0,,E11 Diabetes mellitus tipo 2,140,2022,defunciones,Cuadro16
47.0,,I67 Otras enfermedades cerebrovasculares,140,2022,defunciones,Cuadro16
47.0,,I11 Enfermedad cardíaca hipertensiva,116,2022,defunciones,Cuadro16
47.0,,"E14 Diabetes mellitus, no especificada",105,2022,defunciones,Cuadro16
50.0,50 Meta,Total Defunciones,5882,2022,defunciones,Cuadro16
50.0,,I21 Infarto agudo del miocardio,1141,2022,defunciones,Cuadro16
50.0,,U07 Uso emergente de U07,358,2022,defunciones,Cuadro16
50.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,317,2022,defunciones,Cuadro16
50.0,,E11 Diabetes mellitus tipo 2,212,2022,defunciones,Cuadro16
50.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",190,2022,defunciones,Cuadro16
50.0,,"J15 Neumonía bacteriana, no clasificada en otra parte",135,2022,defunciones,Cuadro16
50.0,,C16 Tumor maligno del estómago,100,2022,defunciones,Cuadro16
50.0,,I11 Enfermedad cardíaca hipertensiva,89,2022,defunciones,Cuadro16
50.0,,I25 Enfermedad isquémica crónica del corazón,85,2022,defunciones,Cuadro16
50.0,,C50 Tumor maligno de la mama,83,2022,defunciones,Cuadro16
52.0,52 Nariño,Total Defunciones,8763,2022,defunciones,Cuadro16
52.0,,I21 Infarto agudo del miocardio,1369,2022,defunciones,Cuadro16
52.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,481,2022,defunciones,Cuadro16
52.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",351,2022,defunciones,Cuadro16
52.0,,U07 Uso emergente de U07,328,2022,defunciones,Cuadro16
52.0,,C16 Tumor maligno del estómago,228,2022,defunciones,Cuadro16
52.0,,I11 Enfermedad cardíaca hipertensiva,196,2022,defunciones,Cuadro16
52.0,,I10 Hipertensión esencial (Primaria),178,2022,defunciones,Cuadro16
52.0,,E11 Diabetes mellitus tipo 2,139,2022,defunciones,Cuadro16
52.0,,"J15 Neumonía bacteriana, no clasificada en otra parte",128,2022,defunciones,Cuadro16
52.0,,I63 Infarto cerebral,127,2022,defunciones,Cuadro16
54.0,54 Norte de Santand,Total Defunciones,9119,2022,defunciones,Cuadro16
54.0,,I21 Infarto agudo del miocardio,1710,2022,defunciones,Cuadro16
54.0,,U07 Uso emergente de U07,454,2022,defunciones,Cuadro16
54.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,433,2022,defunciones,Cuadro16
54.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",347,2022,defunciones,Cuadro16
54.0,,C16 Tumor maligno del estómago,219,2022,defunciones,Cuadro16
54.0,,I11 Enfermedad cardíaca hipertensiva,211,2022,defunciones,Cuadro16
54.0,,"J18 Neumonía, organismo no especificado",186,2022,defunciones,Cuadro16
54.0,,E11 Diabetes mellitus tipo 2,183,2022,defunciones,Cuadro16
54.0,,C50 Tumor maligno de la mama,160,2022,defunciones,Cuadro16
54.0,,C34 Tumor maligno de los bronquios y del pulmón,148,2022,defunciones,Cuadro16
63.0,63 Quindío,Total Defunciones,4667,2022,defunciones,Cuadro16
63.0,,I21 Infarto agudo del miocardio,710,2022,defunciones,Cuadro16
63.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,348,2022,defunciones,Cuadro16
63.0,,U07 Uso emergente de U07,240,2022,defunciones,Cuadro16
63.0,,"J18 Neumonía, organismo no especificado",128,2022,defunciones,Cuadro16
63.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",114,2022,defunciones,Cuadro16
63.0,,I25 Enfermedad isquémica crónica del corazón,91,2022,defunciones,Cuadro16
63.0,,C16 Tumor maligno del estómago,85,2022,defunciones,Cuadro16
63.0,,N39 Otros trastornos del sistema urinario,79,2022,defunciones,Cuadro16
63.0,,C34 Tumor maligno de los bronquios y del pulmón,76,2022,defunciones,Cuadro16
63.0,,"E14 Diabetes mellitus, no especificada",74,2022,defunciones,Cuadro16
66.0,66 Risaralda,Total Defunciones,7589,2022,defunciones,Cuadro16
66.0,,I21 Infarto agudo del miocardio,1264,2022,defunciones,Cuadro16
66.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,542,2022,defunciones,Cuadro16
66.0,,U07 Uso emergente de U07,276,2022,defunciones,Cuadro16
66.0,,C16 Tumor maligno del estómago,171,2022,defunciones,Cuadro16
66.0,,C34 Tumor maligno de los bronquios y del pulmón,164,2022,defunciones,Cuadro16
66.0,,"J18 Neumonía, organismo no especificado",164,2022,defunciones,Cuadro16
66.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",159,2022,defunciones,Cuadro16
66.0,,N39 Otros trastornos del sistema urinario,136,2022,defunciones,Cuadro16
66.0,,I25 Enfermedad isquémica crónica del corazón,118,2022,defunciones,Cuadro16
66.0,,"E14 Diabetes mellitus, no especificada",107,2022,defunciones,Cuadro16
68.0,68 Santander,Total Defunciones,13496,2022,defunciones,Cuadro16
68.0,,I21 Infarto agudo del miocardio,2162,2022,defunciones,Cuadro16
68.0,,U07 Uso emergente de U07,926,2022,defunciones,Cuadro16
68.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,599,2022,defunciones,Cuadro16
68.0,,I11 Enfermedad cardíaca hipertensiva,314,2022,defunciones,Cuadro16
68.0,,C16 Tumor maligno del estómago,262,2022,defunciones,Cuadro16
68.0,,E11 Diabetes mellitus tipo 2,249,2022,defunciones,Cuadro16
68.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",248,2022,defunciones,Cuadro16
68.0,,C34 Tumor maligno de los bronquios y del pulmón,223,2022,defunciones,Cuadro16
68.0,,"J18 Neumonía, organismo no especificado",205,2022,defunciones,Cuadro16
68.0,,I69 Secuelas de enfermedad cerebrovascular,196,2022,defunciones,Cuadro16
70.0,70 Sucre,Total Defunciones,4811,2022,defunciones,Cuadro16
70.0,,I21 Infarto agudo del miocardio,975,2022,defunciones,Cuadro16
70.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,187,2022,defunciones,Cuadro16
70.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",146,2022,defunciones,Cuadro16
70.0,,"J18 Neumonía, organismo no especificado",116,2022,defunciones,Cuadro16
70.0,,"E14 Diabetes mellitus, no especificada",105,2022,defunciones,Cuadro16
70.0,,U07 Uso emergente de U07,95,2022,defunciones,Cuadro16
70.0,,I67 Otras enfermedades cerebrovasculares,91,2022,defunciones,Cuadro16
70.0,,I10 Hipertensión esencial (Primaria),85,2022,defunciones,Cuadro16
70.0,,I69 Secuelas de enfermedad cerebrovascular,84,2022,defunciones,Cuadro16
70.0,,I63 Infarto cerebral,76,2022,defunciones,Cuadro16
73.0,73 Tolima,Total Defunciones,9885,2022,defunciones,Cuadro16
