columna,"CUADRO 6 - Defunciones por sitio donde ocurrió la defunción, según departamento de ocurrencia y régimen de seguridad social",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,año,tipo,hoja_origen
,Año 2022,,,,,,,,,,2022,defunciones,Cuadro6
,Volver al índice,,,,Departamento,,,,,,2022,defunciones,Cuadro6
,Departamento de ocurrencia y régimen de seguridad social del fallecido,,Total,Sitio donde ocurrió la defunción,,,,,,,2022,defunciones,Cuadro6
,,,,Hospital/clínica,Centro / puesto de salud,Casa/domicilio,Lugar de trabajo,Vía pública,Otro sitio,Sin información,2022,defunciones,Cuadro6
3.0,Total Nacional,TOTAL,287251,182703,1459,80660,871,11978,7581,1999,2022,defunciones,Cuadro6
3.0,,Contributivo,110513,72765,354,31494,374,3524,1804,198,2022,defunciones,Cuadro6
3.0,,Subsidiado,158532,98957,1011,45460,424,7208,4954,518,2022,defunciones,Cuadro6
3.0,,Excepción,8988,6909,18,1972,4,32,51,2,2022,defunciones,Cuadro6
3.0,,Especial,569,355,2,203,1,3,5,0,2022,defunciones,Cuadro6
3.0,,No asegurado,4006,2739,25,1019,19,129,63,12,2022,defunciones,Cuadro6
3.0,,Sin información,4643,978,49,512,49,1082,704,1269,2022,defunciones,Cuadro6
5.0,05 Antioquia,TOTAL,40914,23560,133,13678,138,1659,1282,464,2022,defunciones,Cuadro6
5.0,,Contributivo,19512,11321,57,6995,60,614,375,90,2022,defunciones,Cuadro6
5.0,,Subsidiado,19392,11163,72,6226,65,893,801,172,2022,defunciones,Cuadro6
5.0,,Excepción,824,600,1,213,0,4,6,0,2022,defunciones,Cuadro6
5.0,,Especial,119,73,0,44,0,0,2,0,2022,defunciones,Cuadro6
5.0,,No asegurado,512,308,1,135,7,42,15,4,2022,defunciones,Cuadro6
5.0,,Sin información,555,95,2,65,6,106,83,198,2022,defunciones,Cuadro6
8.0,08 Atlántico,TOTAL,16532,12537,44,2991,25,399,486,50,2022,defunciones,Cuadro6
8.0,,Contributivo,5552,4225,14,1095,15,86,113,4,2022,defunciones,Cuadro6
8.0,,Subsidiado,10050,7686,28,1730,8,268,320,10,2022,defunciones,Cuadro6
8.0,,Excepción,465,383,1,79,0,1,1,0,2022,defunciones,Cuadro6
8.0,,Especial,52,41,0,9,1,0,1,0,2022,defunciones,Cuadro6
8.0,,No asegurado,232,163,0,63,1,4,1,0,2022,defunciones,Cuadro6
8.0,,Sin información,181,39,1,15,0,40,50,36,2022,defunciones,Cuadro6
11.0,11 Bogotá,TOTAL,43966,30789,67,11746,35,808,497,24,2022,defunciones,Cuadro6
11.0,,Contributivo,27278,18526,37,8111,28,355,215,6,2022,defunciones,Cuadro6
11.0,,Subsidiado,13198,9784,27,2830,5,338,205,9,2022,defunciones,Cuadro6
11.0,,Excepción,2316,1774,0,531,0,5,6,0,2022,defunciones,Cuadro6
11.0,,Especial,122,73,0,48,0,0,1,0,2022,defunciones,Cuadro6
11.0,,No asegurado,540,398,0,137,0,3,2,0,2022,defunciones,Cuadro6
11.0,,Sin información,512,234,3,89,2,107,68,9,2022,defunciones,Cuadro6
13.0,13 Bolívar,TOTAL,10582,7361,122,2197,28,443,265,166,2022,defunciones,Cuadro6
13.0,,Contributivo,2570,1970,14,454,10,73,49,0,2022,defunciones,Cuadro6
13.0,,Subsidiado,7206,4942,99,1627,16,322,190,10,2022,defunciones,Cuadro6
13.0,,Excepción,350,296,1,51,0,2,0,0,2022,defunciones,Cuadro6
13.0,,Especial,11,8,0,3,0,0,0,0,2022,defunciones,Cuadro6
13.0,,No asegurado,174,112,3,46,0,8,3,2,2022,defunciones,Cuadro6
13.0,,Sin información,271,33,5,16,2,38,23,154,2022,defunciones,Cuadro6
15.0,15 Boyacá,TOTAL,7397,4057,55,2723,67,256,236,3,2022,defunciones,Cuadro6
15.0,,Contributivo,2197,1309,17,690,48,87,46,0,2022,defunciones,Cuadro6
15.0,,Subsidiado,4834,2535,35,1913,17,153,178,3,2022,defunciones,Cuadro6
15.0,,Excepción,246,153,0,89,1,2,1,0,2022,defunciones,Cuadro6
15.0,,Especial,14,10,0,4,0,0,0,0,2022,defunciones,Cuadro6
15.0,,No asegurado,54,34,0,17,0,1,2,0,2022,defunciones,Cuadro6
15.0,,Sin información,52,16,3,10,1,13,9,0,2022,defunciones,Cuadro6
17.0,17 Caldas,TOTAL,7329,4378,38,2535,34,174,159,11,2022,defunciones,Cuadro6
17.0,,Contributivo,3035,1895,15,1019,15,55,35,1,2022,defunciones,Cuadro6
17.0,,Subsidiado,3909,2261,22,1401,16,104,98,7,2022,defunciones,Cuadro6
17.0,,Excepción,263,173,0,87,0,2,1,0,2022,defunciones,Cuadro6
17.0,,Especial,16,10,0,6,0,0,0,0,2022,defunciones,Cuadro6
17.0,,No asegurado,45,24,1,15,1,3,1,0,2022,defunciones,Cuadro6
17.0,,Sin información,61,15,0,7,2,10,24,3,2022,defunciones,Cuadro6
18.0,18 Caquetá,TOTAL,1823,951,8,584,8,121,135,16,2022,defunciones,Cuadro6
18.0,,Contributivo,210,128,2,50,2,15,11,2,2022,defunciones,Cuadro6
18.0,,Subsidiado,1547,798,5,519,5,97,113,10,2022,defunciones,Cuadro6
18.0,,Excepción,24,20,0,4,0,0,0,0,2022,defunciones,Cuadro6
18.0,,Especial,1,0,0,1,0,0,0,0,2022,defunciones,Cuadro6
18.0,,No asegurado,12,4,1,6,0,1,0,0,2022,defunciones,Cuadro6
18.0,,Sin información,29,1,0,4,1,8,11,4,2022,defunciones,Cuadro6
19.0,19 Cauca,TOTAL,7106,2932,28,2751,29,778,303,285,2022,defunciones,Cuadro6
19.0,,Contributivo,1206,570,3,426,6,151,42,8,2022,defunciones,Cuadro6
19.0,,Subsidiado,5343,2198,25,2255,22,572,242,29,2022,defunciones,Cuadro6
19.0,,Excepción,158,115,0,41,0,1,1,0,2022,defunciones,Cuadro6
19.0,,Especial,10,9,0,1,0,0,0,0,2022,defunciones,Cuadro6
19.0,,No asegurado,58,30,0,20,0,5,2,1,2022,defunciones,Cuadro6
19.0,,Sin información,331,10,0,8,1,49,16,247,2022,defunciones,Cuadro6
20.0,20 Cesar,TOTAL,6185,4463,23,1146,22,339,151,41,2022,defunciones,Cuadro6
20.0,,Contributivo,1127,826,8,174,5,91,23,0,2022,defunciones,Cuadro6
20.0,,Subsidiado,4691,3423,13,912,15,215,111,2,2022,defunciones,Cuadro6
20.0,,Excepción,94,83,0,11,0,0,0,0,2022,defunciones,Cuadro6
20.0,,Especial,4,3,0,0,0,1,0,0,2022,defunciones,Cuadro6
20.0,,No asegurado,128,97,1,27,1,0,1,1,2022,defunciones,Cuadro6
20.0,,Sin información,141,31,1,22,1,32,16,38,2022,defunciones,Cuadro6
23.0,23 Córdoba,TOTAL,9419,6323,50,2318,20,454,104,150,2022,defunciones,Cuadro6
23.0,,Contributivo,1427,1036,1,287,2,85,14,2,2022,defunciones,Cuadro6
23.0,,Subsidiado,7452,4993,45,1969,15,337,84,9,2022,defunciones,Cuadro6
23.0,,Excepción,232,206,1,25,0,0,0,0,2022,defunciones,Cuadro6
23.0,,Especial,14,6,1,7,0,0,0,0,2022,defunciones,Cuadro6
23.0,,No asegurado,95,61,0,20,1,11,2,0,2022,defunciones,Cuadro6
23.0,,Sin información,199,21,2,10,2,21,4,139,2022,defunciones,Cuadro6
25.0,25 Cundinamarca,TOTAL,13686,8009,89,4586,64,612,297,29,2022,defunciones,Cuadro6
25.0,,Contributivo,5803,3389,41,1896,44,322,103,8,2022,defunciones,Cuadro6
25.0,,Subsidiado,7260,4289,42,2495,15,244,160,15,2022,defunciones,Cuadro6
25.0,,Excepción,264,146,3,109,0,4,2,0,2022,defunciones,Cuadro6
25.0,,Especial,27,10,0,17,0,0,0,0,2022,defunciones,Cuadro6
25.0,,No asegurado,185,134,1,43,1,3,3,0,2022,defunciones,Cuadro6
25.0,,Sin información,147,41,2,26,4,39,29,6,2022,defunciones,Cuadro6
27.0,27 Chocó,TOTAL,1768,891,29,354,12,191,174,117,2022,defunciones,Cuadro6
27.0,,Contributivo,232,134,1,45,3,26,18,5,2022,defunciones,Cuadro6
27.0,,Subsidiado,1324,704,25,289,9,145,132,20,2022,defunciones,Cuadro6
27.0,,Excepción,25,19,1,3,0,1,1,0,2022,defunciones,Cuadro6
27.0,,Especial,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro6
27.0,,No asegurado,55,33,2,11,0,5,4,0,2022,defunciones,Cuadro6
27.0,,Sin información,132,1,0,6,0,14,19,92,2022,defunciones,Cuadro6
41.0,41 Huila,TOTAL,7345,4455,28,2315,12,271,249,15,2022,defunciones,Cuadro6
41.0,,Contributivo,1699,1161,5,448,3,53,28,1,2022,defunciones,Cuadro6
