columna,"CUADRO 13 - Defunciones de menores de un año por grupos de edad y sexo, según departamento de residencia de la madre y grupos de causas de defunción (Lista Colombia 105 para la tabulación de mortalidad)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,año,tipo,hoja_origen
,Año 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro13
,Volver al índice,Departamento,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro13
,Grupos de causas de defunción (lista Colombia 105 para la tabulación de mortalidad),,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,2023,defunciones,Cuadro13
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,defunciones,Cuadro13
3.0,Total Nacional,TOTAL,5610,3227,2376,7,151,108,3,310,223,1,837,613,2,672,540,1,33,21,0,844,592,0,380,279,0,2023,defunciones,Cuadro13
3.0,,001 Enfermedades infecciosas intestinales,117,75,42,0,0,0,0,0,0,0,2,0,0,4,3,0,1,0,0,34,18,0,34,21,0,2023,defunciones,Cuadro13
3.0,,002 Tuberculosis y secuelas,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023,defunciones,Cuadro13
3.0,,003 Ciertas enfermedades transmitidas por vectores y rabia,15,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,5,0,2023,defunciones,Cuadro13
3.0,,004 Ciertas enfermedades inmunoprevenibles,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2023,defunciones,Cuadro13
3.0,,"005 Septicemia, excepto neonatal",22,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,1,1,0,2023,defunciones,Cuadro13
3.0,,006 Todas las demás enfermedades bacterianas,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,4,0,2023,defunciones,Cuadro13
3.0,,007 Sífilis y otras enfermedades venéreas,14,6,8,0,0,1,0,1,4,0,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro13
3.0,,009 Enfermedad por el VIH (SIDA),3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2023,defunciones,Cuadro13
3.0,,010 Todas las demás enfermedades infecciosas y parasitarias,41,29,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19,3,0,9,8,0,2023,defunciones,Cuadro13
3.0,,015 Tumor maligno del hígado,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2023,defunciones,Cuadro13
3.0,,030 Todos los demás tumores malignos de los órganos urinarios,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,defunciones,Cuadro13
3.0,,"031 Tumor maligno del encéfalo, del ojo y de otras partes del sistema nervioso central",5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,2023,defunciones,Cuadro13
3.0,,032 Tumor maligno del tiroides y de otras glándulas endocrinas,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,defunciones,Cuadro13
3.0,,034 Tumor maligno de sitios no especificados,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2023,defunciones,Cuadro13
3.0,,035 Leucemia,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,0,2023,defunciones,Cuadro13
3.0,,"037 Tumores: in situ, benignos y de comportamiento incierto o desconocido y los no especificados",14,7,7,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,2,4,0,2023,defunciones,Cuadro13
3.0,,038 Todos los demás tumores malignos de otras localizaciones,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,defunciones,Cuadro13
3.0,,"039 Anemias: nutricionales, hemolíticas, aplásticas y otras",8,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,2,0,2023,defunciones,Cuadro13
