columna,"CUADRO 14 - Defunciones de menores de un año por grupos de edad y sexo, según departamento de residencia y grupo de edad de la madre",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,año,tipo,hoja_origen
,Año 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro14
,Volver al índice,,,Departamento,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro14
,Departamento de residencia y grupo de edad de la madre,,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,2023,defunciones,Cuadro14
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,defunciones,Cuadro14
3.0,Total Nacional,TOTAL,5610,3227,2376,7,151,108,3,310,223,1,837,613,2,672,540,1,33,21,0,844,592,0,380,279,0,2023,defunciones,Cuadro14
3.0,,10 - 14 años,53,31,22,0,3,3,0,5,3,0,8,9,0,6,2,0,0,0,0,9,5,0,0,0,0,2023,defunciones,Cuadro14
3.0,,15 - 19 años,979,574,401,4,22,21,2,67,31,1,149,115,0,115,85,1,7,4,0,150,96,0,64,49,0,2023,defunciones,Cuadro14
3.0,,20 - 24 años,1347,780,567,0,30,23,0,76,63,0,187,147,0,194,122,0,11,6,0,208,142,0,74,64,0,2023,defunciones,Cuadro14
3.0,,25 - 29 años,1141,656,484,1,41,22,0,68,51,0,199,120,1,122,121,0,6,5,0,150,110,0,70,55,0,2023,defunciones,Cuadro14
3.0,,30 - 34 años,893,507,386,0,29,20,0,41,30,0,155,109,0,113,98,0,3,4,0,117,87,0,49,38,0,2023,defunciones,Cuadro14
3.0,,35 - 39 años,542,306,236,0,22,8,0,39,34,0,85,58,0,69,65,0,4,0,0,57,50,0,30,21,0,2023,defunciones,Cuadro14
3.0,,40 - 44 años,226,116,109,1,3,9,1,10,9,0,24,24,0,30,30,0,0,2,0,33,31,0,16,4,0,2023,defunciones,Cuadro14
3.0,,45 - 49 años,35,20,15,0,0,2,0,4,2,0,4,4,0,5,3,0,1,0,0,2,1,0,4,3,0,2023,defunciones,Cuadro14
3.0,,50 - 54 años,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2023,defunciones,Cuadro14
3.0,,Edad desconocida,392,236,155,1,1,0,0,0,0,0,26,27,1,18,14,0,0,0,0,118,69,0,73,45,0,2023,defunciones,Cuadro14
5.0,05 Antioquia,TOTAL,461,254,207,0,20,12,0,31,27,0,54,53,0,52,43,0,2,4,0,61,46,0,34,22,0,2023,defunciones,Cuadro14
5.0,,10 - 14 años,3,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro14
5.0,,15 - 19 años,73,29,44,0,2,2,0,2,3,0,8,15,0,8,5,0,0,2,0,6,12,0,3,5,0,2023,defunciones,Cuadro14
5.0,,20 - 24 años,101,56,45,0,0,1,0,9,11,0,13,10,0,12,9,0,1,1,0,15,10,0,6,3,0,2023,defunciones,Cuadro14
5.0,,25 - 29 años,121,70,51,0,9,4,0,8,7,0,14,14,0,15,10,0,0,1,0,14,10,0,10,5,0,2023,defunciones,Cuadro14
5.0,,30 - 34 años,69,41,28,0,5,4,0,4,0,0,9,7,0,9,8,0,0,0,0,9,5,0,5,4,0,2023,defunciones,Cuadro14
5.0,,35 - 39 años,42,23,19,0,4,0,0,5,5,0,8,2,0,0,7,0,1,0,0,5,2,0,0,3,0,2023,defunciones,Cuadro14
5.0,,40 - 44 años,22,14,8,0,0,0,0,2,1,0,1,1,0,5,3,0,0,0,0,3,3,0,3,0,0,2023,defunciones,Cuadro14
5.0,,45 - 49 años,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2023,defunciones,Cuadro14
5.0,,50 - 54 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro14
