columna,columna_1,"CUADRO 15 - Defunciones por grupos de edad y sexo, según departamento, municipio de ocurrencia y grupos de causas externas  (Lista de causas agrupadas 6/67 cie-10 de OPS)",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,columna_96,columna_97,año,tipo,hoja_origen
,,Año 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro15
,,Volver al índice,Departamento,                                                                  Municipio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro15
,,Departamento y municipio de ocurrencia | LISTA 6/67 CIE 10 DE OPS,,,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2023,defunciones,Cuadro15
,,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,defunciones,Cuadro15
3.0,3000.0,Total Nacional,,TOTAL,34315,28878,5411,26,0,0,0,1,0,0,3,3,1,2,0,0,0,0,0,18,12,0,22,12,0,82,50,0,107,64,0,108,73,0,268,139,0,2168,425,1,4135,498,0,4137,459,0,3501,402,1,2653,328,0,2286,328,1,1647,226,1,1499,206,3,1306,203,0,1206,233,3,1001,204,0,865,223,3,673,276,0,533,330,4,383,340,1,197,234,1,67,116,0,7,27,1,3,0,5,2023,defunciones,Cuadro15
3.0,3000.0,,,501 Accidentes de transporte terrestre,8799,7278,1521,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,1,0,3,2,0,8,7,0,20,25,0,29,20,0,74,20,0,574,137,0,1022,189,0,927,159,0,709,146,0,590,111,0,570,102,0,426,74,0,416,76,0,412,66,0,425,83,0,317,75,0,288,66,0,222,65,0,147,57,0,75,31,0,17,6,0,1,2,0,0,1,0,0,0,0,2023,defunciones,Cuadro15
3.0,3000.0,,,502 Los demás accidentes de transporte y los no especificados,59,48,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,1,1,0,5,1,0,0,0,0,6,5,0,6,0,0,6,0,0,2,0,0,5,0,0,4,3,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
3.0,3000.0,,,503 Caídas,1702,1205,497,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,3,0,2,1,0,2,0,0,8,0,0,3,1,0,11,2,0,20,0,0,23,4,0,48,3,0,29,4,0,52,8,0,45,5,0,65,5,0,103,11,0,107,17,0,126,33,0,125,43,0,120,68,0,114,84,0,104,99,0,63,65,0,28,35,0,2,6,0,0,0,0,2023,defunciones,Cuadro15
3.0,3000.0,,,504 Accidentes por disparo de arma de fuego,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
3.0,3000.0,,,505 Ahogamiento y sumersión accidentales,740,631,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,32,19,0,30,8,0,25,14,0,45,11,0,96,7,0,58,8,0,48,4,0,48,4,0,26,4,0,42,5,0,35,1,0,37,2,0,27,4,0,21,6,0,25,4,0,17,2,0,8,1,0,7,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
3.0,3000.0,,,506 Accidentes que obstruyen la respiración,463,316,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,11,3,0,7,5,0,4,9,0,10,1,0,8,3,0,13,4,0,15,3,0,13,1,0,20,1,0,18,4,0,19,1,0,20,2,0,21,9,0,21,10,0,20,10,0,17,12,0,25,10,0,18,19,0,18,15,0,12,11,0,1,9,0,0,3,0,0,0,0,2023,defunciones,Cuadro15
