columna,columna_1,"CUADRO 3 - Defunciones por grupos de edad y sexo, según departamento, municipio y área donde ocurrió la defunción",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,año,tipo,hoja_origen
,,Año 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro3
,,Volver al índice,,Departamento,,,,Municipio,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro3
,,"Departamento, municipio y área de ocurrencia",,,Total,Total,,,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro3
,,,,,,,,,Menor 1 año,,,De 1-4 años,,,De 5-14 años,,,De 15-44 años,,,De 45-64 años,,,De 65-84 años,,,De 85-99 años,,,De 100 y más,,,Edad desconocida,,,2023,defunciones,Cuadro3
,,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,defunciones,Cuadro3
3.0,3000.0,Total Nacional,,TOTAL,268411,147544,120827,40,3227,2376,7,811,635,0,1108,881,0,27250,9097,3,28085,19664,11,60098,49644,8,26131,36725,2,672,1727,1,162,78,8,2023,defunciones,Cuadro3
3.0,3000.0,,,Cabecera municipal,239781,128503,111251,27,3057,2269,6,663,532,0,934,765,0,21260,8023,2,24592,18491,6,54267,46206,6,23140,33427,2,587,1538,0,3,0,5,2023,defunciones,Cuadro3
3.0,3000.0,,,Centro poblado,6647,4137,2510,0,32,27,0,27,20,0,28,18,0,1044,221,0,710,307,0,1478,936,0,794,926,0,24,55,0,0,0,0,2023,defunciones,Cuadro3
3.0,3000.0,,,Rural disperso,19638,13478,6150,10,115,58,1,102,61,0,129,84,0,4633,764,1,2594,780,2,3903,2215,2,1946,2076,0,54,112,1,2,0,3,2023,defunciones,Cuadro3
3.0,3000.0,,,Sin información,2345,1426,916,3,23,22,0,19,22,0,17,14,0,313,89,0,189,86,3,450,287,0,251,296,0,7,22,0,157,78,0,2023,defunciones,Cuadro3
5.0,5000.0,05 Antioquia,Total Dpto,TOTAL,37926,20571,17354,1,269,216,0,86,58,0,120,97,0,3859,1223,0,4005,2749,0,8509,7331,0,3585,5408,0,114,261,1,24,11,0,2023,defunciones,Cuadro3
5.0,5000.0,,,Cabecera municipal,33154,17334,15820,0,254,210,0,67,43,0,101,79,0,2681,1016,0,3377,2526,0,7541,6733,0,3207,4982,0,105,231,0,1,0,0,2023,defunciones,Cuadro3
5.0,5000.0,,,Centro poblado,899,583,316,0,2,1,0,6,6,0,6,3,0,199,38,0,104,49,0,187,121,0,77,89,0,2,9,0,0,0,0,2023,defunciones,Cuadro3
5.0,5000.0,,,Rural disperso,3582,2456,1125,1,12,4,0,11,7,0,11,13,0,896,146,0,498,166,0,744,454,0,279,317,0,5,18,1,0,0,0,2023,defunciones,Cuadro3
5.0,5000.0,,,Sin información,291,198,93,0,1,1,0,2,2,0,2,2,0,83,23,0,26,8,0,37,23,0,22,20,0,2,3,0,23,11,0,2023,defunciones,Cuadro3
5.0,5001.0,,05001 Medellín,TOTAL,19400,9885,9515,0,160,132,0,46,20,0,54,48,0,1444,612,0,1982,1557,0,4431,4103,0,1699,2894,0,59,144,0,10,5,0,2023,defunciones,Cuadro3
5.0,5001.0,,,Cabecera municipal,19119,9694,9425,0,160,132,0,44,20,0,54,47,0,1381,602,0,1951,1552,0,4367,4070,0,1680,2862,0,57,140,0,0,0,0,2023,defunciones,Cuadro3
5.0,5001.0,,,Centro poblado,121,78,43,0,0,0,0,1,0,0,0,0,0,31,5,0,15,2,0,24,19,0,7,15,0,0,2,0,0,0,0,2023,defunciones,Cuadro3
5.0,5001.0,,,Rural disperso,109,80,29,0,0,0,0,0,0,0,0,1,0,27,3,0,13,1,0,32,10,0,8,13,0,0,1,0,0,0,0,2023,defunciones,Cuadro3
5.0,5001.0,,,Sin información,51,33,18,0,0,0,0,1,0,0,0,0,0,5,2,0,3,2,0,8,4,0,4,4,0,2,1,0,10,5,0,2023,defunciones,Cuadro3
5.0,5002.0,,05002 Abejorral,TOTAL,77,50,27,0,0,0,0,0,0,0,1,0,0,6,4,0,12,2,0,24,9,0,7,11,0,0,1,0,0,0,0,2023,defunciones,Cuadro3
5.0,5002.0,,,Cabecera municipal,43,25,18,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,12,7,0,5,9,0,0,1,0,0,0,0,2023,defunciones,Cuadro3
5.0,5002.0,,,Centro poblado,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro3
5.0,5002.0,,,Rural disperso,31,24,7,0,0,0,0,0,0,0,1,0,0,4,3,0,6,0,0,11,2,0,2,2,0,0,0,0,0,0,0,2023,defunciones,Cuadro3
5.0,5002.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro3
5.0,5004.0,,05004 Abriaquí,TOTAL,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro3
5.0,5004.0,,,Cabecera municipal,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro3
5.0,5004.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro3
5.0,5004.0,,,Rural disperso,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro3
5.0,5004.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro3
5.0,5021.0,,05021 Alejandría,TOTAL,22,16,6,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,6,0,0,5,5,0,1,0,0,0,0,0,2023,defunciones,Cuadro3
5.0,5021.0,,,Cabecera municipal,18,12,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,0,0,5,5,0,1,0,0,0,0,0,2023,defunciones,Cuadro3
5.0,5021.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro3
