columna,"CUADRO 10 - Defunciones por probable manera de muerte y sexo, según departamento de ocurrencia",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_25,año,tipo,hoja_origen
,Año 2024,,,,,,,,,,,,,,,2024,defunciones,Cuadro10
,Volver al índice,,,,,,,,,,,,,,,2024,defunciones,Cuadro10
,Departamento de ocurrencia,Total,Total,,,Natural,,,No natural,,,En estudio,,,,2024,defunciones,Cuadro10
,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,,2024,defunciones,Cuadro10
3.0,Total Nacional,275778,151018,124705,55,121516,118806,5,28336,5452,40,1166,447,10,,2024,defunciones,Cuadro10
5.0,05 Antioquia,38939,20935,18001,3,16779,17108,0,3879,775,3,277,118,0,,2024,defunciones,Cuadro10
8.0,08 Atlántico,16473,8776,7693,4,7278,7447,0,1442,227,4,56,19,0,,2024,defunciones,Cuadro10
11.0,11 Bogotá,42435,21770,20657,8,18740,19882,1,2713,636,4,317,139,3,,2024,defunciones,Cuadro10
13.0,13 Bolívar,10463,5801,4660,2,4548,4459,0,1214,187,2,39,14,0,,2024,defunciones,Cuadro10
15.0,15 Boyacá,6921,3760,3160,1,3215,3015,0,542,143,1,3,2,0,,2024,defunciones,Cuadro10
17.0,17 Caldas,6794,3714,3079,1,3168,2952,0,530,122,1,16,5,0,,2024,defunciones,Cuadro10
18.0,18 Caquetá,1771,1041,730,0,784,679,0,256,49,0,1,2,0,,2024,defunciones,Cuadro10
19.0,19 Cauca,6369,3769,2599,1,2606,2433,0,1162,166,1,1,0,0,,2024,defunciones,Cuadro10
20.0,20 Cesar,6356,3691,2660,5,2821,2494,2,823,156,3,47,10,0,,2024,defunciones,Cuadro10
23.0,23 Córdoba,9124,5098,4024,2,4269,3840,1,804,175,1,25,9,0,,2024,defunciones,Cuadro10
25.0,25 Cundinamarca,13165,7269,5885,11,5829,5551,0,1373,317,6,67,17,5,,2024,defunciones,Cuadro10
27.0,27 Chocó,1750,1040,710,0,652,628,0,384,75,0,4,7,0,,2024,defunciones,Cuadro10
41.0,41 Huila,6966,4012,2953,1,3059,2794,0,908,147,1,45,12,0,,2024,defunciones,Cuadro10
44.0,44 La Guajira,2549,1436,1108,5,1053,1038,0,377,66,5,6,4,0,,2024,defunciones,Cuadro10
47.0,47 Magdalena,6332,3734,2598,0,2819,2472,0,891,119,0,24,7,0,,2024,defunciones,Cuadro10
50.0,50 Meta,5519,3227,2292,0,2489,2120,0,722,168,0,16,4,0,,2024,defunciones,Cuadro10
52.0,52 Nariño,8172,4336,3836,0,3411,3623,0,922,212,0,3,1,0,,2024,defunciones,Cuadro10
54.0,54 Norte de Santander,8833,5055,3778,0,4007,3591,0,1028,179,0,20,8,0,,2024,defunciones,Cuadro10
63.0,63 Quindío,4602,2580,2022,0,2171,1927,0,394,91,0,15,4,0,,2024,defunciones,Cuadro10
66.0,66 Risaralda,7987,4360,3626,1,3683,3479,0,654,133,1,23,14,0,,2024,defunciones,Cuadro10
68.0,68 Santander,13017,7183,5834,0,5919,5572,0,1206,243,0,58,19,0,,2024,defunciones,Cuadro10
70.0,70 Sucre,4713,2572,2139,2,2136,2043,0,436,96,2,0,0,0,,2024,defunciones,Cuadro10
73.0,73 Tolima,9063,5016,4045,2,4161,3850,1,820,179,0,35,16,1,,2024,defunciones,Cuadro10
76.0,76 Valle del Cauca,32159,17395,14760,4,13720,14139,0,3667,620,4,8,1,0,,2024,defunciones,Cuadro10
81.0,81 Arauca,1175,795,379,1,481,340,0,306,38,1,8,1,0,,2024,defunciones,Cuadro10
85.0,85 Casanare,1739,1112,627,0,780,568,0,327,56,0,5,3,0,,2024,defunciones,Cuadro10
86.0,86 Putumayo,1212,775,437,0,412,386,0,325,43,0,38,8,0,,2024,defunciones,Cuadro10
88.0,88 Archipiélago de San Andrés y Providencia,255,160,94,1,110,90,0,49,4,0,1,0,1,,2024,defunciones,Cuadro10
91.0,91 Amazonas,211,143,68,0,92,65,0,48,3,0,3,0,0,,2024,defunciones,Cuadro10
94.0,94 Guainía,143,74,69,0,56,65,0,18,4,0,0,0,0,,2024,defunciones,Cuadro10
95.0,95 Guaviare,284,194,90,0,137,82,0,55,8,0,2,0,0,,2024,defunciones,Cuadro10
97.0,97 Vaupés,107,71,36,0,52,29,0,19,7,0,0,0,0,,2024,defunciones,Cuadro10
99.0,99 Vichada,180,124,56,0,79,45,0,42,8,0,3,3,0,,2024,defunciones,Cuadro10
,Fuente: DANE - Estadísticas Vitales,,,,,,,,,,,,,,0.0,2024,defunciones,Cuadro10
,Fecha de actualización: 06 de febrero de 2026,,,,,,,,,,,,,,,2024,defunciones,Cuadro10
