columna,"CUADRO 2 - Defunciones por persona que certifica la defunción, según departamento, área y sitio donde ocurrió la defunción",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,año,tipo,hoja_origen
,Año 2024,,,,,,,,,,2024,defunciones,Cuadro2
,Volver al índice,,,,,,,,,,2024,defunciones,Cuadro2
,"Departamento, área y sitio donde ocurrió la defunción",,,Total,Certificado de defunción expedido por,,,,,,2024,defunciones,Cuadro2
,,,,,Médico tratante,Médico no tratante,Médico legista,Personal de salud autorizado,Funcionario del registro civil,Sin información,2024,defunciones,Cuadro2
3.0,Total Nacional,Total,Total,275778,84316,151382,37811,559,0,1710,2024,defunciones,Cuadro2
3.0,,,Hospital/clínica,178647,74858,90735,12993,61,0,0,2024,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,1300,297,534,466,3,0,0,2024,defunciones,Cuadro2
3.0,,,Casa/domicilio,73012,8630,57757,6139,468,0,18,2024,defunciones,Cuadro2
3.0,,,Lugar de trabajo,708,7,126,572,3,0,0,2024,defunciones,Cuadro2
3.0,,,Vía pública,11976,93,834,11043,6,0,0,2024,defunciones,Cuadro2
3.0,,,Otro sitio,7719,424,1313,5964,16,0,2,2024,defunciones,Cuadro2
3.0,,,Sin información,2416,7,83,634,2,0,1690,2024,defunciones,Cuadro2
3.0,,Cabecera municipal,Total,247705,82682,136226,28639,158,0,0,2024,defunciones,Cuadro2
3.0,,,Hospital/clínica,176918,74518,89396,12945,59,0,0,2024,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,1004,245,390,368,1,0,0,2024,defunciones,Cuadro2
3.0,,,Casa/domicilio,57255,7501,44859,4805,90,0,0,2024,defunciones,Cuadro2
3.0,,,Lugar de trabajo,331,4,62,265,0,0,0,2024,defunciones,Cuadro2
3.0,,,Vía pública,7329,49,507,6772,1,0,0,2024,defunciones,Cuadro2
3.0,,,Otro sitio,4527,361,965,3194,7,0,0,2024,defunciones,Cuadro2
3.0,,,Sin información,341,4,47,290,0,0,0,2024,defunciones,Cuadro2
3.0,,Centro poblado,Total,6549,498,4627,1358,62,0,4,2024,defunciones,Cuadro2
3.0,,,Hospital/clínica,884,175,698,9,2,0,0,2024,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,150,37,92,20,1,0,0,2024,defunciones,Cuadro2
3.0,,,Casa/domicilio,4296,267,3680,291,54,0,4,2024,defunciones,Cuadro2
3.0,,,Lugar de trabajo,46,1,15,30,0,0,0,2024,defunciones,Cuadro2
3.0,,,Vía pública,711,6,68,636,1,0,0,2024,defunciones,Cuadro2
3.0,,,Otro sitio,404,11,66,325,2,0,0,2024,defunciones,Cuadro2
3.0,,,Sin información,58,1,8,47,2,0,0,2024,defunciones,Cuadro2
3.0,,Rural disperso,Total,19607,1136,10529,7587,339,0,16,2024,defunciones,Cuadro2
3.0,,,Hospital/clínica,843,165,641,37,0,0,0,2024,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,140,15,52,72,1,0,0,2024,defunciones,Cuadro2
3.0,,,Casa/domicilio,11441,862,9218,1023,324,0,14,2024,defunciones,Cuadro2
3.0,,,Lugar de trabajo,325,2,49,271,3,0,0,2024,defunciones,Cuadro2
3.0,,,Vía pública,3862,38,259,3561,4,0,0,2024,defunciones,Cuadro2
3.0,,,Otro sitio,2751,52,282,2408,7,0,2,2024,defunciones,Cuadro2
3.0,,,Sin información,245,2,28,215,0,0,0,2024,defunciones,Cuadro2
3.0,,Sin información,Total,1917,0,0,227,0,0,1690,2024,defunciones,Cuadro2
3.0,,,Hospital/clínica,2,0,0,2,0,0,0,2024,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,6,0,0,6,0,0,0,2024,defunciones,Cuadro2
3.0,,,Casa/domicilio,20,0,0,20,0,0,0,2024,defunciones,Cuadro2
3.0,,,Lugar de trabajo,6,0,0,6,0,0,0,2024,defunciones,Cuadro2
3.0,,,Vía pública,74,0,0,74,0,0,0,2024,defunciones,Cuadro2
3.0,,,Otro sitio,37,0,0,37,0,0,0,2024,defunciones,Cuadro2
3.0,,,Sin información,1772,0,0,82,0,0,1690,2024,defunciones,Cuadro2
5.0,05 Antioquia,Total,Total,38939,10015,23544,5268,34,0,78,2024,defunciones,Cuadro2
5.0,,,Hospital/clínica,22694,7950,13429,1307,8,0,0,2024,defunciones,Cuadro2
5.0,,,Centro/puesto de salud,90,12,48,30,0,0,0,2024,defunciones,Cuadro2
5.0,,,Casa/domicilio,12675,1997,9606,1047,25,0,0,2024,defunciones,Cuadro2
5.0,,,Lugar de trabajo,125,0,27,98,0,0,0,2024,defunciones,Cuadro2
5.0,,,Vía pública,1724,14,196,1514,0,0,0,2024,defunciones,Cuadro2
5.0,,,Otro sitio,1327,40,215,1071,1,0,0,2024,defunciones,Cuadro2
5.0,,,Sin información,304,2,23,201,0,0,78,2024,defunciones,Cuadro2
5.0,,Cabecera municipal,Total,34080,9659,20871,3521,29,0,0,2024,defunciones,Cuadro2
5.0,,,Hospital/clínica,21776,7771,12706,1291,8,0,0,2024,defunciones,Cuadro2
5.0,,,Centro/puesto de salud,64,9,33,22,0,0,0,2024,defunciones,Cuadro2
5.0,,,Casa/domicilio,10541,1841,7858,822,20,0,0,2024,defunciones,Cuadro2
5.0,,,Lugar de trabajo,60,0,16,44,0,0,0,2024,defunciones,Cuadro2
5.0,,,Vía pública,919,6,107,806,0,0,0,2024,defunciones,Cuadro2
5.0,,,Otro sitio,656,30,141,484,1,0,0,2024,defunciones,Cuadro2
5.0,,,Sin información,64,2,10,52,0,0,0,2024,defunciones,Cuadro2
5.0,,Centro poblado,Total,833,54,493,286,0,0,0,2024,defunciones,Cuadro2
5.0,,,Hospital/clínica,127,18,106,3,0,0,0,2024,defunciones,Cuadro2
5.0,,,Centro/puesto de salud,18,3,12,3,0,0,0,2024,defunciones,Cuadro2
5.0,,,Casa/domicilio,426,30,343,53,0,0,0,2024,defunciones,Cuadro2
5.0,,,Lugar de trabajo,10,0,3,7,0,0,0,2024,defunciones,Cuadro2
5.0,,,Vía pública,125,3,18,104,0,0,0,2024,defunciones,Cuadro2
5.0,,,Otro sitio,106,0,9,97,0,0,0,2024,defunciones,Cuadro2
5.0,,,Sin información,21,0,2,19,0,0,0,2024,defunciones,Cuadro2
5.0,,Rural disperso,Total,3861,302,2180,1374,5,0,0,2024,defunciones,Cuadro2
5.0,,,Hospital/clínica,790,161,617,12,0,0,0,2024,defunciones,Cuadro2
5.0,,,Centro/puesto de salud,6,0,3,3,0,0,0,2024,defunciones,Cuadro2
5.0,,,Casa/domicilio,1705,126,1405,169,5,0,0,2024,defunciones,Cuadro2
5.0,,,Lugar de trabajo,55,0,8,47,0,0,0,2024,defunciones,Cuadro2
5.0,,,Vía pública,663,5,71,587,0,0,0,2024,defunciones,Cuadro2
5.0,,,Otro sitio,553,10,65,478,0,0,0,2024,defunciones,Cuadro2
5.0,,,Sin información,89,0,11,78,0,0,0,2024,defunciones,Cuadro2
5.0,,Sin información,Total,165,0,0,87,0,0,78,2024,defunciones,Cuadro2
