columna,columna_1,"CUADRO 4  -  Defunciones por grupos de edad y sexo, según departamento, municipio y área de residencia",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,columna_96,columna_97,año,tipo,hoja_origen
,,Año 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro4
,,Volver al índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro4
,,"Departamento, municipio y área de residencia",,,Total,Total,,,Grupos de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro4
,,,,,,,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 días,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2024,defunciones,Cuadro4
,,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2024,defunciones,Cuadro4
3.0,3000.0,Total Nacional,,TOTAL,275778,151018,124705,55,137,91,5,276,234,2,763,492,0,549,434,0,25,24,0,639,541,2,285,260,0,277,265,0,375,325,0,401,325,0,594,418,0,2638,879,1,4890,1145,1,5379,1269,1,5161,1532,3,4501,1853,1,4455,2557,1,4595,2998,3,5512,3919,9,7674,5492,0,10692,7680,5,13300,9821,0,15441,11688,6,16642,13738,0,17017,16207,5,15010,17854,0,9326,14150,2,3613,6632,3,745,1813,1,106,69,4,2024,defunciones,Cuadro4
3.0,3000.0,,,Cabecera municipal,219020,116593,102424,3,101,68,1,181,163,0,515,343,0,379,306,0,15,16,0,387,347,0,148,137,0,143,134,0,223,213,0,264,218,0,389,288,0,1920,640,0,3710,879,0,4102,992,1,3995,1219,0,3401,1457,0,3461,2040,0,3460,2373,0,4181,3100,0,5907,4497,0,8406,6333,0,10547,8186,0,12133,9691,1,13001,11286,0,13117,13425,0,11642,14898,0,7415,11963,0,2879,5695,0,571,1516,0,0,1,0,2024,defunciones,Cuadro4
3.0,3000.0,,,Centro poblado,12849,7442,5406,1,9,5,0,23,8,1,40,27,0,32,23,0,2,1,0,48,38,0,20,17,0,18,24,0,22,17,0,22,19,0,43,16,0,119,32,0,211,47,0,259,57,0,211,92,0,214,97,0,161,118,0,220,147,0,265,201,0,390,245,0,515,327,0,559,399,0,735,468,0,843,616,0,921,663,0,820,731,0,451,593,0,213,282,0,56,96,0,0,0,0,2024,defunciones,Cuadro4
3.0,3000.0,,,Rural disperso,38987,23392,15594,1,23,15,0,67,61,1,178,110,0,123,99,0,8,7,0,183,142,0,105,93,0,94,96,0,99,82,0,93,66,0,134,102,0,467,153,0,698,179,0,708,186,0,653,193,0,618,262,0,600,355,0,729,430,0,878,578,0,1202,694,0,1567,960,0,1980,1157,0,2384,1434,0,2629,1736,0,2824,2011,0,2381,2095,0,1368,1495,0,483,623,0,116,180,0,0,0,0,2024,defunciones,Cuadro4
3.0,3000.0,,,Sin información,4922,3591,1281,50,4,3,4,5,2,0,30,12,0,15,6,0,0,0,0,21,14,2,12,13,0,22,11,0,31,13,0,22,22,0,28,12,0,132,54,1,271,40,1,310,34,0,302,28,3,268,37,1,233,44,1,186,48,3,188,40,9,175,56,0,204,60,5,214,79,0,189,95,5,169,100,0,155,108,5,167,130,0,92,99,2,38,32,3,2,21,1,106,68,4,2024,defunciones,Cuadro4
