columna,"CUADRO 7 - Defunciones maternas, por grupos de edad, según departamento de residencia y grupos de causas de defunción  (Lista de causas agrupadas 6/67 CIE-10 de OPS)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,año,tipo,hoja_origen
,Año 2024,,,,,,,,,,,,,2024,defunciones,Cuadro7
,Volver al índice,,,,,,,,,,,,,2024,defunciones,Cuadro7
,"Departamento de residencia | Grupos de causas de defunción 
(Lista de causas agrupadas 6/67 CIE-10 de OPS)",,Total,Grupos de edad,,,,,,,,,,2024,defunciones,Cuadro7
,,,,"10 - 14
 años","15 - 19
 años","20 - 24
 años","25 - 29
 años","30 - 34
 años","35 - 39
 años","40 - 44
 años","45 - 49
 años","50 - 54
 años",Edad desconocida,2024,defunciones,Cuadro7
3.0,Total Nacional,TOTAL,355,3,49,69,78,72,45,31,7,1,0,2024,defunciones,Cuadro7
3.0,,Embarazo terminado en aborto (O00-O08),19,0,2,5,3,1,6,1,1,0,0,2024,defunciones,Cuadro7
3.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",42,1,11,3,8,10,5,4,0,0,0,2024,defunciones,Cuadro7
3.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),7,0,1,1,1,1,2,1,0,0,0,2024,defunciones,Cuadro7
3.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),16,0,2,3,5,3,2,0,1,0,0,2024,defunciones,Cuadro7
3.0,,Complicaciones del trabajo del parto y del parto (O60-O75),30,1,1,7,6,7,3,5,0,0,0,2024,defunciones,Cuadro7
3.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),17,0,5,1,6,3,2,0,0,0,0,2024,defunciones,Cuadro7
3.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),224,1,27,49,49,47,25,20,5,1,0,2024,defunciones,Cuadro7
5.0,05 Antioquia,TOTAL,32,0,4,6,6,5,4,6,1,0,0,2024,defunciones,Cuadro7
5.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
