"CUADRO 1 - Defunciones por área donde ocurrió la defunción y sexo, según grupo de edad, Total Nacional",columna,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,año,tipo,hoja_origen
Año corrido 2025 preliminar - (Defunciones no fetales ocurridas y reportadas entre el 1 de enero y el 31 de julio de 2025),,,,,,,,,,,,,,,,,2025,defunciones,Cuadro1
GRUPOS DE EDAD,Total,Total,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2025,defunciones,Cuadro1
,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2025,defunciones,Cuadro1
Total Nacional,163711,90139,73543,29,79243,68345,22,2466,1459,3,8284,3719,3,146,20,1,2025,defunciones,Cuadro1
Menor 1 hora,115,67,46,2,65,43,2,0,3,0,2,0,0,0,0,0,2025,defunciones,Cuadro1
De 1 a 23 horas,246,133,113,0,127,110,0,2,0,0,4,3,0,0,0,0,2025,defunciones,Cuadro1
De 1 a 6 días,690,393,297,0,389,294,0,0,1,0,4,1,0,0,1,0,2025,defunciones,Cuadro1
De 7 a 27 días,559,310,249,0,307,247,0,0,0,0,3,1,0,0,1,0,2025,defunciones,Cuadro1
De 28 a 29 días,28,15,13,0,15,13,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro1
De 1 a 5 meses,623,335,287,1,312,269,1,5,5,0,17,13,0,1,0,0,2025,defunciones,Cuadro1
De 6 a 11 meses,233,125,108,0,105,95,0,7,5,0,12,8,0,1,0,0,2025,defunciones,Cuadro1
De 1 año,239,126,113,0,92,95,0,5,2,0,29,16,0,0,0,0,2025,defunciones,Cuadro1
De 2 a 4 años,344,184,160,0,148,123,0,7,7,0,29,30,0,0,0,0,2025,defunciones,Cuadro1
De 5 a 9 años,400,214,186,0,183,159,0,7,6,0,24,21,0,0,0,0,2025,defunciones,Cuadro1
De 10 a 14 años,580,335,245,0,282,208,0,8,2,0,44,35,0,1,0,0,2025,defunciones,Cuadro1
De 15 a 19 años,2053,1552,500,1,1164,416,1,63,11,0,311,73,0,14,0,0,2025,defunciones,Cuadro1
De 20 a 24 años,3328,2698,630,0,2070,531,0,79,14,0,539,85,0,10,0,0,2025,defunciones,Cuadro1
De 25 a 29 años,3872,3144,726,2,2411,638,0,108,13,1,601,74,1,24,1,0,2025,defunciones,Cuadro1
De 30 a 34 años,3803,2913,887,3,2261,790,2,108,21,1,530,71,0,14,5,0,2025,defunciones,Cuadro1
De 35 a 39 años,3699,2581,1118,0,2064,1017,0,86,21,0,414,79,0,17,1,0,2025,defunciones,Cuadro1
De 40 a 44 años,4138,2662,1471,5,2199,1347,3,72,32,0,375,90,2,16,2,0,2025,defunciones,Cuadro1
De 45 a 49 años,4459,2701,1756,2,2288,1621,2,75,34,0,333,99,0,5,2,0,2025,defunciones,Cuadro1
De 50 a 54 años,5392,3147,2244,1,2729,2121,1,75,34,0,338,89,0,5,0,0,2025,defunciones,Cuadro1
De 55 a 59 años,7711,4444,3267,0,3957,3087,0,98,50,0,384,130,0,5,0,0,2025,defunciones,Cuadro1
De 60 a 64 años,10743,6366,4374,3,5767,4133,2,140,77,1,451,163,0,8,1,0,2025,defunciones,Cuadro1
De 65 a 69 años,13933,8088,5845,0,7383,5546,0,161,85,0,536,213,0,8,1,0,2025,defunciones,Cuadro1
De 70 a 74 años,16441,9541,6900,0,8687,6553,0,241,125,0,608,221,0,5,1,0,2025,defunciones,Cuadro1
De 75 a 79 años,18611,10277,8332,2,9353,7827,2,243,135,0,674,367,0,7,3,0,2025,defunciones,Cuadro1
De 80 a 84 años,19769,10209,9557,3,9226,8892,3,274,180,0,706,484,0,3,1,0,2025,defunciones,Cuadro1
De 85 a 89 años,19565,9065,10500,0,8139,9694,0,303,246,0,621,560,0,2,0,0,2025,defunciones,Cuadro1
De 90 a 94 años,14143,5723,8420,0,5088,7708,0,179,217,0,456,495,0,0,0,0,2025,defunciones,Cuadro1
De 95 a 99 años,6419,2315,4102,2,2024,3780,2,92,94,0,199,228,0,0,0,0,2025,defunciones,Cuadro1
De 100 años y más,1572,476,1095,1,408,987,0,28,39,0,40,69,0,0,0,1,2025,defunciones,Cuadro1
Edad desconocida,3,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,2025,defunciones,Cuadro1
Fecha de actualización: 25 de septiembre de 2025,,,,,,,,,,,,,,,,,2025,defunciones,Cuadro1
