columna,"CUADRO 12 - Defunciones por grupo de edad y sexo, según departamento de residencia y grupo de causas de defunción  (Lista Colombia 105 para la tabulación de mortalidad)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,año,tipo,hoja_origen
,'Año corrido 2025 preliminar - (Defunciones no fetales ocurridas y reportadas entre el 1 de enero y el 31 de julio de 2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,defunciones,Cuadro12
,Volver al índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,defunciones,Cuadro12
,Departamento de residencia | Grupos de causas de defunción (Lista Colombia 105 para la tabulación de mortalidad),,TOTAL,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2025,defunciones,Cuadro12
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2025,defunciones,Cuadro12
3.0,Total Nacional,TOTAL,163711,90139,73543,29,67,46,2,133,113,0,393,297,0,310,249,0,15,13,0,335,287,1,125,108,0,126,113,0,184,160,0,214,186,0,335,245,0,1552,500,1,2698,630,0,3144,726,2,2913,887,3,2581,1118,0,2662,1471,5,2701,1756,2,3147,2244,1,4444,3267,0,6366,4374,3,8088,5845,0,9541,6900,0,10277,8332,2,10209,9557,3,9065,10500,0,5723,8420,0,2315,4102,2,476,1095,1,0,2,1,2025,defunciones,Cuadro12
3.0,,001 Enfermedades infecciosas intestinales,902,408,494,0,0,0,0,0,0,0,2,0,0,4,1,0,0,2,0,11,13,0,4,6,0,13,6,0,2,9,0,1,0,0,1,2,0,1,1,0,4,1,0,6,1,0,6,3,0,5,4,0,11,8,0,7,7,0,12,10,0,15,17,0,21,35,0,29,40,0,36,45,0,51,51,0,82,62,0,44,78,0,32,62,0,7,26,0,1,4,0,0,0,0,2025,defunciones,Cuadro12
3.0,,002 Tuberculosis y secuelas,1008,711,296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,0,2,1,0,1,0,0,8,6,0,25,9,0,46,18,0,42,17,0,50,10,0,44,16,0,36,16,0,42,18,0,47,18,0,69,27,1,64,32,0,65,22,0,72,28,0,48,25,0,32,18,0,13,10,0,2,0,0,0,1,0,0,0,0,2025,defunciones,Cuadro12
3.0,,003 Ciertas enfermedades transmitidas por vectores y rabia,272,166,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,5,1,0,2,9,0,4,6,0,7,1,0,8,4,0,3,2,0,4,5,0,6,5,0,8,1,0,9,2,0,6,2,0,8,3,0,20,7,0,16,10,0,24,12,0,12,13,0,14,11,0,5,5,0,3,4,0,0,1,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,004 Ciertas enfermedades inmunoprevenibles,28,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,2,0,2,1,0,0,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,"005 Septicemia, excepto neonatal",495,234,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0,2,0,0,5,2,0,4,0,0,1,2,0,3,3,0,7,0,0,8,4,0,5,6,0,5,5,0,9,9,0,17,10,0,16,15,0,18,26,0,28,28,0,28,30,0,33,34,0,27,41,0,13,22,0,3,14,0,0,5,0,0,0,0,2025,defunciones,Cuadro12
3.0,,006 Todas las demás enfermedades bacterianas,290,156,134,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,3,0,0,3,3,0,2,3,0,4,1,0,4,4,0,6,4,0,6,8,0,6,7,0,12,7,0,13,9,0,22,12,0,14,10,0,24,21,0,11,13,0,10,13,0,7,9,0,2,5,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,007 Sífilis y otras enfermedades venéreas,20,13,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,1,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,008 Hepatitis viral y secuelas,69,38,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,2,4,0,4,2,0,3,1,0,0,3,0,4,0,0,3,2,0,4,2,0,4,4,0,4,8,0,1,2,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,009 Enfermedad por el VIH (SIDA),1250,959,290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,42,15,0,108,23,0,147,33,0,136,38,0,117,45,1,86,32,0,82,32,0,78,24,0,60,18,0,45,15,0,31,7,0,21,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,010 Todas las demás enfermedades infecciosas y parasitarias,494,274,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,1,5,0,1,2,0,6,2,0,3,5,0,3,3,0,3,3,0,3,2,0,9,7,0,3,2,0,10,6,0,16,6,0,9,5,0,14,9,0,14,9,0,27,20,0,18,20,0,22,23,0,31,25,0,40,26,0,19,13,0,9,15,0,5,2,0,2,3,0,0,0,0,2025,defunciones,Cuadro12
3.0,,"011 Tumores malignos del labio, de la cavidad bucal y de la faringe",558,323,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,4,0,1,1,0,4,2,0,13,8,0,14,7,0,28,12,0,30,18,0,43,27,0,47,23,0,37,28,0,39,36,0,21,33,0,26,17,0,10,11,0,5,4,0,1,2,0,0,0,0,2025,defunciones,Cuadro12
3.0,,012 Tumor maligno del esófago,400,269,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,3,1,0,6,1,0,8,6,0,23,6,0,33,13,0,38,14,0,43,28,0,44,16,0,38,20,0,21,9,0,6,11,0,3,3,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
