columna,"CUADRO 9 - Defunciones por pertenencia étnico-racial del fallecido y sexo, según departamento de residencia",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,año,tipo,hoja_origen
,Año corrido 2025 preliminar - (Defunciones no fetales ocurridas y reportadas entre el 1 de enero y el 31 de julio de 2025),,,,,,,,,,,,,,,,,,,,,,,,,,2025,defunciones,Cuadro9
,Volver al índice,,,,,,,,,,,,,,,,,,,,,,,,,,2025,defunciones,Cuadro9
,DEPARTAMENTO DE RESIDENCIA,TOTAL,TOTAL,,,Indígena,,,Rom (Gitano),,,Raizal del archipiélago de San Andrés y Providencia,,,Palenquero de San Basilio,,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",,,Ninguno de las anteriores,,,Sin información,,,2025,defunciones,Cuadro9
,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2025,defunciones,Cuadro9
3.0,Total Nacional,163711,90139,73543,29,1443,1331,1,14,9,0,59,55,0,9,11,0,3293,2617,0,85321,69520,28,0,0,0,2025,defunciones,Cuadro9
5.0,05 Antioquia,23622,12710,10910,2,30,27,0,0,0,0,1,3,0,0,0,0,316,272,0,12363,10608,2,0,0,0,2025,defunciones,Cuadro9
8.0,08 Atlántico,8591,4638,3951,2,5,4,0,0,2,0,7,7,0,1,2,0,123,93,0,4502,3843,2,0,0,0,2025,defunciones,Cuadro9
11.0,11 Bogotá,22229,11184,11044,1,10,13,0,0,0,0,2,2,0,0,1,0,37,39,0,11135,10989,1,0,0,0,2025,defunciones,Cuadro9
13.0,13 Bolívar,6423,3566,2855,2,1,1,0,1,0,0,3,2,0,4,5,0,204,163,0,3353,2684,2,0,0,0,2025,defunciones,Cuadro9
15.0,15 Boyacá,4429,2393,2036,0,2,7,0,0,1,0,0,0,0,0,0,0,5,3,0,2386,2025,0,0,0,0,2025,defunciones,Cuadro9
17.0,17 Caldas,4132,2257,1875,0,80,76,0,0,0,0,0,0,0,0,0,0,10,6,0,2167,1793,0,0,0,0,2025,defunciones,Cuadro9
18.0,18 Caquetá,1170,697,473,0,6,6,0,0,0,0,0,0,0,0,0,0,11,7,0,680,460,0,0,0,0,2025,defunciones,Cuadro9
19.0,19 Cauca,4167,2386,1781,0,272,201,0,1,0,0,4,1,0,0,0,0,306,224,0,1803,1355,0,0,0,0,2025,defunciones,Cuadro9
20.0,20 Cesar,3428,2039,1389,0,33,26,0,0,0,0,0,0,0,0,0,0,34,30,0,1972,1333,0,0,0,0,2025,defunciones,Cuadro9
23.0,23 Córdoba,5040,2741,2299,0,34,39,0,1,0,0,0,1,0,0,0,0,42,30,0,2664,2229,0,0,0,0,2025,defunciones,Cuadro9
25.0,25 Cundinamarca,9646,5355,4290,1,4,8,0,1,0,0,0,0,0,0,0,0,15,15,0,5335,4267,1,0,0,0,2025,defunciones,Cuadro9
