columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnica del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen
,"Año Corrido 2023, preliminar - (Nacimientos ocurridos y reportados por la fuente hasta el 31 de enero de 2023)",,,,,,,,,,,,,,,,,,2023,nacimientos,Cuadro11
,Volver al índice,,,Departamento,,,,,,,,,,,,,,,2023,nacimientos,Cuadro11
,Departamento de residencia de la madre y pertenencia étnica del nacido vivo,,Total,Total,,,Área de residencia de la madre,,,,,,,,,,,,2023,nacimientos,Cuadro11
,,,,,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2023,nacimientos,Cuadro11
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,nacimientos,Cuadro11
3.0,Total Nacional,Total,43744,22585,21155,4,16787,15744,3,1701,1566,0,3971,3704,1,126,141,0,2023,nacimientos,Cuadro11
3.0,,Indígena,1988,986,1002,0,246,228,0,90,95,0,619,644,0,31,35,0,2023,nacimientos,Cuadro11
3.0,,Rom (Gitano),3,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
3.0,,Raizal del archipiélago de San Andrés y Providencia,28,14,14,0,5,10,0,8,3,0,1,1,0,0,0,0,2023,nacimientos,Cuadro11
3.0,,Palenquero de San Basilio,4,3,1,0,2,0,0,1,1,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
3.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",1661,835,826,0,636,644,0,81,69,0,118,112,0,0,1,0,2023,nacimientos,Cuadro11
3.0,,Ninguno de las anteriores,40060,20746,19310,4,15897,14860,3,1521,1398,0,3233,2947,1,95,105,0,2023,nacimientos,Cuadro11
3.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
5.0,05 Antioquia,Total,5197,2647,2550,0,1881,1838,0,200,174,0,566,538,0,0,0,0,2023,nacimientos,Cuadro11
5.0,,Indígena,35,13,22,0,2,3,0,3,3,0,8,16,0,0,0,0,2023,nacimientos,Cuadro11
5.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
5.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
5.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
5.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",122,53,69,0,40,56,0,7,5,0,6,8,0,0,0,0,2023,nacimientos,Cuadro11
5.0,,Ninguno de las anteriores,5040,2581,2459,0,1839,1779,0,190,166,0,552,514,0,0,0,0,2023,nacimientos,Cuadro11
5.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
8.0,08 Atlántico,Total,2708,1406,1302,0,1382,1266,0,19,26,0,5,10,0,0,0,0,2023,nacimientos,Cuadro11
8.0,,Indígena,4,1,3,0,1,2,0,0,0,0,0,1,0,0,0,0,2023,nacimientos,Cuadro11
8.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
8.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
8.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
8.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",44,20,24,0,15,18,0,4,6,0,1,0,0,0,0,0,2023,nacimientos,Cuadro11
8.0,,Ninguno de las anteriores,2660,1385,1275,0,1366,1246,0,15,20,0,4,9,0,0,0,0,2023,nacimientos,Cuadro11
8.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
11.0,11 Bogotá,Total,5260,2720,2540,0,2711,2535,0,1,1,0,8,4,0,0,0,0,2023,nacimientos,Cuadro11
11.0,,Indígena,22,8,14,0,8,14,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
11.0,,Rom (Gitano),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
11.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
11.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
11.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",23,13,10,0,13,10,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
11.0,,Ninguno de las anteriores,5214,2698,2516,0,2689,2511,0,1,1,0,8,4,0,0,0,0,2023,nacimientos,Cuadro11
11.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
13.0,13 Bolívar,Total,2611,1361,1250,0,1060,984,0,191,150,0,110,116,0,0,0,0,2023,nacimientos,Cuadro11
13.0,,Indígena,4,2,2,0,2,1,0,0,0,0,0,1,0,0,0,0,2023,nacimientos,Cuadro11
13.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
13.0,,Raizal del archipiélago de San Andrés y Providencia,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
13.0,,Palenquero de San Basilio,4,3,1,0,2,0,0,1,1,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
13.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",106,60,46,0,50,42,0,6,3,0,4,1,0,0,0,0,2023,nacimientos,Cuadro11
13.0,,Ninguno de las anteriores,2496,1296,1200,0,1006,940,0,184,146,0,106,114,0,0,0,0,2023,nacimientos,Cuadro11
13.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
15.0,15 Boyacá,Total,959,505,454,0,304,260,0,13,18,0,188,176,0,0,0,0,2023,nacimientos,Cuadro11
15.0,,Indígena,6,3,3,0,1,0,0,1,0,0,1,3,0,0,0,0,2023,nacimientos,Cuadro11
15.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
15.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
15.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
15.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",3,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
15.0,,Ninguno de las anteriores,950,500,450,0,301,259,0,12,18,0,187,173,0,0,0,0,2023,nacimientos,Cuadro11
15.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
17.0,17 Caldas,Total,600,325,275,0,235,180,0,22,20,0,68,75,0,0,0,0,2023,nacimientos,Cuadro11
17.0,,Indígena,20,9,11,0,1,2,0,1,1,0,7,8,0,0,0,0,2023,nacimientos,Cuadro11
17.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
17.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
17.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
17.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,nacimientos,Cuadro11
17.0,,Ninguno de las anteriores,579,316,263,0,234,178,0,21,19,0,61,66,0,0,0,0,2023,nacimientos,Cuadro11
17.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
18.0,18 Caquetá,Total,486,253,233,0,163,139,0,10,10,0,80,84,0,0,0,0,2023,nacimientos,Cuadro11
18.0,,Indígena,6,4,2,0,2,0,0,0,0,0,2,2,0,0,0,0,2023,nacimientos,Cuadro11
18.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
18.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
18.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
18.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
18.0,,Ninguno de las anteriores,478,248,230,0,160,138,0,10,10,0,78,82,0,0,0,0,2023,nacimientos,Cuadro11
18.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
19.0,19 Cauca,Total,1228,661,567,0,241,209,0,68,53,0,352,305,0,0,0,0,2023,nacimientos,Cuadro11
19.0,,Indígena,267,128,139,0,10,8,0,10,17,0,108,114,0,0,0,0,2023,nacimientos,Cuadro11
19.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
19.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
19.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
19.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",127,70,57,0,26,26,0,7,9,0,37,22,0,0,0,0,2023,nacimientos,Cuadro11
19.0,,Ninguno de las anteriores,834,463,371,0,205,175,0,51,27,0,207,169,0,0,0,0,2023,nacimientos,Cuadro11
