columna,columna_1,"CUADRO 5 - Nacimientos por persona que atendió el parto según departamento, municipio de ocurrencia y sitio del parto",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,año,tipo,hoja_origen
,,"Año Corrido 2023, preliminar - (Nacimientos ocurridos y reportados por la fuente hasta el 31 de enero de 2023)",,,,,,,,,,,2023,nacimientos,Cuadro5
,,Volver al índice,Departamento,,,,Municipio,,,,,,2023,nacimientos,Cuadro5
,,"Departamento, municipio de ocurrencia y sitio del parto",,,Total,Persona que atendió el parto,,,,,,,2023,nacimientos,Cuadro5
,,,,,,Médico,Enfermero(a),Auxiliar de Enfermería,Promotor(a) de salud,Partera,Otra persona,Sin información,2023,nacimientos,Cuadro5
3.0,3000.0,Total Nacional,,Total,43744,43336,39,19,9,179,162,0,2023,nacimientos,Cuadro5
3.0,3000.0,,,Institución de Salud,43347,43297,37,8,5,0,0,0,2023,nacimientos,Cuadro5
3.0,3000.0,,,Domicilio,317,7,1,5,3,173,128,0,2023,nacimientos,Cuadro5
3.0,3000.0,,,Otro Sitio,80,32,1,6,1,6,34,0,2023,nacimientos,Cuadro5
3.0,3000.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5000.0,05 Antioquia,Total Dpto,Total,5164,5129,6,1,1,5,22,0,2023,nacimientos,Cuadro5
5.0,5000.0,,,Institución de Salud,5133,5125,6,1,1,0,0,0,2023,nacimientos,Cuadro5
5.0,5000.0,,,Domicilio,21,1,0,0,0,4,16,0,2023,nacimientos,Cuadro5
5.0,5000.0,,,Otro Sitio,10,3,0,0,0,1,6,0,2023,nacimientos,Cuadro5
5.0,5000.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5001.0,,05001 Medellín,Total,2721,2713,2,0,1,0,5,0,2023,nacimientos,Cuadro5
5.0,5001.0,,,Institución de Salud,2716,2713,2,0,1,0,0,0,2023,nacimientos,Cuadro5
