columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen
,,"Año Corrido 2023, preliminar - (Nacimientos ocurridos y reportados por la fuente hasta el 31 de enero de 2023)",,,,,,,,,,,,,2023,nacimientos,Cuadro6A
,,Volver al índice,Departamento,,,,Municipio,,,,,,,,2023,nacimientos,Cuadro6A
,,"Departamento, municipio y área de residencia de la madre",,,Total,Peso en gramos,,,,,,,,,2023,nacimientos,Cuadro6A
,,,,,,Menos de 1.000,1.000 - 1.499,1.500 - 1.999,2.000 - 2.499,2.500 - 2.999,3.000 - 3.499,3.500 - 3.999,4.000 y más,Sin información,2023,nacimientos,Cuadro6A
3.0,3000.0,Total Nacional,,Total,43744,196,353,828,3380,12751,18476,6820,894,46,2023,nacimientos,Cuadro6A
3.0,3000.0,,,Cabecera municipal,32534,156,282,610,2542,9425,13789,5060,665,5,2023,nacimientos,Cuadro6A
3.0,3000.0,,,Centro poblado,3267,9,22,51,234,935,1424,522,66,4,2023,nacimientos,Cuadro6A
3.0,3000.0,,,Rural disperso,7676,28,47,159,584,2317,3141,1208,156,36,2023,nacimientos,Cuadro6A
3.0,3000.0,,,Sin información,267,3,2,8,20,74,122,30,7,1,2023,nacimientos,Cuadro6A
5.0,5000.0,05 Antioquia,Total Dpto,Total,5197,17,47,94,423,1569,2227,725,91,4,2023,nacimientos,Cuadro6A
5.0,5000.0,,,Cabecera municipal,3719,11,40,61,305,1129,1603,504,65,1,2023,nacimientos,Cuadro6A
5.0,5000.0,,,Centro poblado,374,0,1,11,37,119,147,54,5,0,2023,nacimientos,Cuadro6A
5.0,5000.0,,,Rural disperso,1104,6,6,22,81,321,477,167,21,3,2023,nacimientos,Cuadro6A
5.0,5000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5001.0,,05001 Medellín,Total,1677,5,19,28,151,543,697,212,21,1,2023,nacimientos,Cuadro6A
5.0,5001.0,,,Cabecera municipal,1644,5,19,27,148,534,682,207,21,1,2023,nacimientos,Cuadro6A
5.0,5001.0,,,Centro poblado,14,0,0,1,2,5,4,2,0,0,2023,nacimientos,Cuadro6A
5.0,5001.0,,,Rural disperso,19,0,0,0,1,4,11,3,0,0,2023,nacimientos,Cuadro6A
5.0,5001.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5002.0,,05002 Abejorral,Total,11,1,0,0,0,5,5,0,0,0,2023,nacimientos,Cuadro6A
5.0,5002.0,,,Cabecera municipal,4,0,0,0,0,1,3,0,0,0,2023,nacimientos,Cuadro6A
5.0,5002.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5002.0,,,Rural disperso,7,1,0,0,0,4,2,0,0,0,2023,nacimientos,Cuadro6A
5.0,5002.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5004.0,,05004 Abriaquí,Total,3,0,0,0,0,0,1,2,0,0,2023,nacimientos,Cuadro6A
5.0,5004.0,,,Cabecera municipal,1,0,0,0,0,0,0,1,0,0,2023,nacimientos,Cuadro6A
5.0,5004.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5004.0,,,Rural disperso,2,0,0,0,0,0,1,1,0,0,2023,nacimientos,Cuadro6A
