"CUADRO 1 - Nacimientos por área de ocurrencia y sexo, según grupos de edad de la madre, Total Nacional",columna,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,año,tipo,hoja_origen
Grupo de edad de la madre,Total,Total,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2024,nacimientos,Cuadro1
,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2024,nacimientos,Cuadro1
Total Nacional,37740,19316,18421,3,19108,18236,3,95,84,0,113,101,0,0,0,0,2024,nacimientos,Cuadro1
De 10-14 Años,253,135,118,0,132,116,0,2,1,0,1,1,0,0,0,0,2024,nacimientos,Cuadro1
De 15-19 Años,5415,2793,2622,0,2736,2579,0,26,18,0,31,25,0,0,0,0,2024,nacimientos,Cuadro1
De 20-24 Años,10134,5246,4888,0,5185,4835,0,33,24,0,28,29,0,0,0,0,2024,nacimientos,Cuadro1
De 25-29 Años,9853,5001,4851,1,4954,4807,1,22,22,0,25,22,0,0,0,0,2024,nacimientos,Cuadro1
De 30-34 Años,7193,3665,3527,1,3650,3506,1,6,10,0,9,11,0,0,0,0,2024,nacimientos,Cuadro1
De 35-39 Años,3737,1916,1821,0,1899,1807,0,3,7,0,14,7,0,0,0,0,2024,nacimientos,Cuadro1
De 40-44 Años,1079,525,553,1,517,548,1,3,1,0,5,4,0,0,0,0,2024,nacimientos,Cuadro1
De 45-49 Años,74,35,39,0,35,36,0,0,1,0,0,2,0,0,0,0,2024,nacimientos,Cuadro1
De 50-54 Años,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro1
Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro1
Fecha de actualización: 22 de marzo de 2024,,,,,,,,,,,,,,,,,2024,nacimientos,Cuadro1
