columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnico-racial del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen
,"Año corrido 2025, preliminar - (Nacimientos ocurridos y reportados por la fuente entre el 1 de enero y el 31 de julio de 2025)",,,,,,,,,,,,,,,,,,2025,nacimientos,Cuadro11
,Volver al índice,,,,,,,,,,,,,,,,,,2025,nacimientos,Cuadro11
,Departamento de residencia de la madre y pertenencia étnico-racial del nacido vivo,,TOTAL,Total,,,Área de residencia de la madre,,,,,,,,,,,,2025,nacimientos,Cuadro11
,,,,,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2025,nacimientos,Cuadro11
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2025,nacimientos,Cuadro11
3.0,Total Nacional,Total,243870,125026,118832,12,93860,89173,7,7840,7389,1,22635,21646,4,691,624,0,2025,nacimientos,Cuadro11
3.0,,Indígena,12919,6632,6285,2,1322,1290,0,649,573,0,4497,4273,2,164,149,0,2025,nacimientos,Cuadro11
3.0,,Rom (Gitano),11,6,5,0,5,5,0,0,0,0,1,0,0,0,0,0,2025,nacimientos,Cuadro11
3.0,,Raizal del archipiélago de San Andrés y Providencia,113,65,48,0,48,43,0,9,2,0,8,3,0,0,0,0,2025,nacimientos,Cuadro11
3.0,,Palenquero de San Basilio,19,11,8,0,4,4,0,3,4,0,4,0,0,0,0,0,2025,nacimientos,Cuadro11
3.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",8932,4564,4368,0,3455,3312,0,375,387,0,730,664,0,4,5,0,2025,nacimientos,Cuadro11
3.0,,Ninguno de las anteriores,221876,113748,108118,10,89026,84519,7,6804,6423,1,17395,16706,2,523,470,0,2025,nacimientos,Cuadro11
3.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
5.0,05 Antioquia,Total,28836,14765,14068,3,10992,10453,2,823,732,0,2950,2883,1,0,0,0,2025,nacimientos,Cuadro11
5.0,,Indígena,206,112,94,0,23,17,0,6,8,0,83,69,0,0,0,0,2025,nacimientos,Cuadro11
5.0,,Rom (Gitano),2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
5.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
5.0,,Palenquero de San Basilio,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
5.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",606,280,326,0,207,233,0,23,44,0,50,49,0,0,0,0,2025,nacimientos,Cuadro11
5.0,,Ninguno de las anteriores,28021,14371,13647,3,10760,10202,2,794,680,0,2817,2765,1,0,0,0,2025,nacimientos,Cuadro11
5.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
8.0,08 Atlántico,Total,13895,7192,6703,0,6976,6490,0,158,165,0,58,48,0,0,0,0,2025,nacimientos,Cuadro11
8.0,,Indígena,10,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
8.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
8.0,,Raizal del archipiélago de San Andrés y Providencia,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
8.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
