columna,columna_1,"CUADRO 13 - Nacimientos por nivel educativo de la madre según departamento, municipio de residencia y grupo de edad de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen
,,"Año corrido 2025, preliminar - (Nacimientos ocurridos y reportados por la fuente entre el 1 de enero y el 31 de julio de 2025)",,,,,,,,,,,,,,,,,,2025,nacimientos,Cuadro13
,,Volver al índice,,,,,,,,,,,,,,,,,,2025,nacimientos,Cuadro13
,,"Departamento, municipio y grupo de edad de la madre",,,Total,Nivel educativo de la madre,,,,,,,,,,,,,,2025,nacimientos,Cuadro13
,,,,,,Preescolar,Básica primaria,Básica secundaria,Media académica o clásica,Media técnica,Normalista,Técnica profesional,Tecnológica,Profesional,Especialización,Maestría,Doctorado,Ninguno,Sin información,2025,nacimientos,Cuadro13
3.0,3000.0,Total Nacional,,Total,243870,246,20469,46784,83320,4505,498,23934,15549,34672,4440,1454,48,2037,5914,2025,nacimientos,Cuadro13
3.0,3000.0,,,De 10-14 Años,1630,6,582,886,43,1,0,0,0,0,0,0,0,48,64,2025,nacimientos,Cuadro13
3.0,3000.0,,,De 15-19 Años,33034,30,4745,13484,11882,456,51,562,260,125,0,0,0,317,1122,2025,nacimientos,Cuadro13
3.0,3000.0,,,De 20-24 Años,63627,47,4691,13963,28593,1429,174,6035,3503,3072,37,3,0,414,1666,2025,nacimientos,Cuadro13
3.0,3000.0,,,De 25-29 Años,64935,53,3782,9605,22214,1345,134,8516,5632,11050,739,123,1,357,1384,2025,nacimientos,Cuadro13
3.0,3000.0,,,De 30-34 Años,48750,46,3103,5439,13243,841,90,5740,4151,12337,1825,568,15,372,980,2025,nacimientos,Cuadro13
3.0,3000.0,,,De 35-39 Años,24871,39,2436,2656,5768,351,37,2533,1618,6520,1492,583,22,314,502,2025,nacimientos,Cuadro13
3.0,3000.0,,,De 40-44 Años,6588,21,1045,703,1498,81,12,524,370,1475,331,165,9,181,173,2025,nacimientos,Cuadro13
3.0,3000.0,,,De 45-49 Años,416,4,81,47,78,1,0,24,15,89,14,11,1,32,19,2025,nacimientos,Cuadro13
3.0,3000.0,,,De 50-54 Años,19,0,4,1,1,0,0,0,0,4,2,1,0,2,4,2025,nacimientos,Cuadro13
3.0,3000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
5.0,5000.0,05 Antioquia,Total Dpto,Total,28836,18,1735,5050,10893,423,40,3767,1631,4172,406,140,6,139,416,2025,nacimientos,Cuadro13
5.0,5000.0,,,De 10-14 Años,200,0,46,141,5,0,0,0,0,0,0,0,0,2,6,2025,nacimientos,Cuadro13
5.0,5000.0,,,De 15-19 Años,3588,0,399,1544,1404,41,5,64,15,11,0,0,0,21,84,2025,nacimientos,Cuadro13
5.0,5000.0,,,De 20-24 Años,7587,2,369,1538,3853,131,16,967,308,264,1,1,0,20,117,2025,nacimientos,Cuadro13
5.0,5000.0,,,De 25-29 Años,7826,5,312,986,3012,130,9,1416,610,1164,54,9,0,21,98,2025,nacimientos,Cuadro13
5.0,5000.0,,,De 30-34 Años,5819,6,292,490,1700,81,5,874,438,1601,170,56,2,34,70,2025,nacimientos,Cuadro13
5.0,5000.0,,,De 35-39 Años,3023,3,211,267,726,33,3,365,209,931,160,55,2,29,29,2025,nacimientos,Cuadro13
5.0,5000.0,,,De 40-44 Años,756,2,97,76,189,7,2,79,51,191,21,19,2,8,12,2025,nacimientos,Cuadro13
