columna,columna_1,"CUADRO 3 - Nacimientos por área y sexo, según departamento y municipio de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen
,,"Año corrido 2025, preliminar - (Nacimientos ocurridos y reportados por la fuente entre el 1 de enero y el 31 de julio de 2025)",,,,,,,,,,,,,,,,,,2025,nacimientos,Cuadro3
,,Volver al índice,,,,,,,,,,,,,,,,,,2025,nacimientos,Cuadro3
,,Departamento y municipio de residencia de la madre,,Total,Total,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2025,nacimientos,Cuadro3
,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2025,nacimientos,Cuadro3
3.0,3000.0,Total Nacional,,243870,125026,118832,12,93860,89173,7,7840,7389,1,22635,21646,4,691,624,0,2025,nacimientos,Cuadro3
5.0,5000.0,05 Antioquia,Total,28836,14765,14068,3,10992,10453,2,823,732,0,2950,2883,1,0,0,0,2025,nacimientos,Cuadro3
5.0,5001.0,,05001 Medellín,9750,4962,4788,0,4869,4688,0,51,43,0,42,57,0,0,0,0,2025,nacimientos,Cuadro3
5.0,5002.0,,05002 Abejorral,64,28,35,1,14,13,0,1,2,0,13,20,1,0,0,0,2025,nacimientos,Cuadro3
5.0,5004.0,,05004 Abriaquí,7,4,3,0,1,1,0,0,0,0,3,2,0,0,0,0,2025,nacimientos,Cuadro3
5.0,5021.0,,05021 Alejandría,22,10,12,0,1,9,0,0,0,0,9,3,0,0,0,0,2025,nacimientos,Cuadro3
5.0,5030.0,,05030 Amagá,89,42,47,0,19,24,0,5,2,0,18,21,0,0,0,0,2025,nacimientos,Cuadro3
5.0,5031.0,,05031 Amalfi,101,48,53,0,30,29,0,0,0,0,18,24,0,0,0,0,2025,nacimientos,Cuadro3
5.0,5034.0,,05034 Andes,165,86,79,0,31,39,0,15,6,0,40,34,0,0,0,0,2025,nacimientos,Cuadro3
5.0,5036.0,,05036 Angelópolis,27,12,15,0,4,2,0,1,4,0,7,9,0,0,0,0,2025,nacimientos,Cuadro3
