"CUADRO 1 - Nacimientos por área de ocurrencia y sexo, según grupos de edad de la madre, total nacional",columna,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,año,tipo,hoja_origen,cuadro,"CUADRO 1 - Nacimientos por área de ocurrencia y sexo, según grupos de edad de la madre, Total Nacional"
Grupo de edad de la madre,Total,Total,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2022,nacimientos,Cuadro1,cuadro1,
,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2022,nacimientos,Cuadro1,cuadro1,
Total Nacional,46942,23986,22955,1,23730,22682,1,105,109,0,151,164,0,0,0,0,2022,nacimientos,Cuadro1,cuadro1,
De 10-14 Años,371,193,178,0,190,171,0,2,3,0,1,4,0,0,0,0,2022,nacimientos,Cuadro1,cuadro1,
De 15-19 Años,8147,4236,3911,0,4170,3839,0,27,32,0,39,40,0,0,0,0,2022,nacimientos,Cuadro1,cuadro1,
De 20-24 Años,12932,6575,6357,0,6501,6276,0,34,29,0,40,52,0,0,0,0,2022,nacimientos,Cuadro1,cuadro1,
De 25-29 Años,11840,5991,5848,1,5945,5802,1,20,22,0,26,24,0,0,0,0,2022,nacimientos,Cuadro1,cuadro1,
De 30-34 Años,8070,4091,3979,0,4057,3946,0,12,12,0,22,21,0,0,0,0,2022,nacimientos,Cuadro1,cuadro1,
De 35-39 Años,4322,2243,2079,0,2221,2061,0,7,6,0,15,12,0,0,0,0,2022,nacimientos,Cuadro1,cuadro1,
De 40-44 Años,1188,621,567,0,610,551,0,3,5,0,8,11,0,0,0,0,2022,nacimientos,Cuadro1,cuadro1,
De 45-49 Años,59,27,32,0,27,32,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro1,cuadro1,
De 50-54 Años,13,9,4,0,9,4,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro1,cuadro1,
Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro1,cuadro1,
Fecha de actualización: 25 de marzo de 2022,,,,,,,,,,,,,,,,,2022,nacimientos,Cuadro1,cuadro1,
Grupo de edad de la madre,Total,Total,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2023,nacimientos,Cuadro1,cuadro1,
,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,nacimientos,Cuadro1,cuadro1,
Total Nacional,43744,22585,21155,4,22371,20927,4,89,104,0,125,124,0,0,0,0,2023,nacimientos,Cuadro1,cuadro1,
De 10-14 Años,321,171,150,0,170,144,0,0,3,0,1,3,0,0,0,0,2023,nacimientos,Cuadro1,cuadro1,
De 15-19 Años,6831,3590,3240,1,3546,3190,1,22,16,0,22,34,0,0,0,0,2023,nacimientos,Cuadro1,cuadro1,
