columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnica del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen,cuadro,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnico-racial del nacido vivo"
,"Año Corrido 2022, preliminar - (Nacimientos ocurridos y reportados por la fuente, entre el 1 de enero y el 31 de enero de 2022)",,,,,,,,,,,,,,,,,,2022,nacimientos,Cuadro11,cuadro11,
,Volver al índice,,,Departamento,,,,,,,,,,,,,,,2022,nacimientos,Cuadro11,cuadro11,
,Departamento de residencia de la madre y pertenencia étnica del nacido vivo,,Total,Total,,,Área de residencia de la madre,,,,,,,,,,,,2022,nacimientos,Cuadro11,cuadro11,
,,,,,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2022,nacimientos,Cuadro11,cuadro11,
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2022,nacimientos,Cuadro11,cuadro11,
3.0,Total,Total,46942,23986,22955,1,18120,17289,1,1666,1590,0,3929,3795,0,271,281,0,2022,nacimientos,Cuadro11,cuadro11,
3.0,,Indígena,2007,995,1012,0,259,262,0,98,104,0,603,615,0,35,31,0,2022,nacimientos,Cuadro11,cuadro11,
3.0,,Rom (Gitano),2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
3.0,,Raizal del archipiélago de San Andrés y Providencia,18,6,12,0,3,5,0,2,5,0,1,2,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
3.0,,Palenquero de San Basilio,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
3.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",1658,861,797,0,679,617,0,64,83,0,116,95,0,2,2,0,2022,nacimientos,Cuadro11,cuadro11,
3.0,,Ninguno de las anteriores,43255,22123,21131,1,17178,16404,1,1502,1396,0,3209,3083,0,234,248,0,2022,nacimientos,Cuadro11,cuadro11,
3.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
5.0,05 Antioquia,Total,5482,2793,2689,0,2079,2018,0,190,201,0,524,470,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
5.0,,Indígena,30,16,14,0,6,5,0,2,1,0,8,8,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
5.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
5.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
5.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
5.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",103,51,52,0,38,32,0,5,11,0,8,9,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
5.0,,Ninguno de las anteriores,5349,2726,2623,0,2035,1981,0,183,189,0,508,453,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
5.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
8.0,08 Atlántico,Total,2967,1532,1435,0,1494,1399,0,30,27,0,8,9,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
8.0,,Indígena,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
8.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
8.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
8.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
8.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",31,20,11,0,18,9,0,2,2,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
8.0,,Ninguno de las anteriores,2935,1512,1423,0,1476,1389,0,28,25,0,8,9,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
8.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
11.0,11 Bogotá,Total,5154,2610,2543,1,2605,2537,1,2,0,0,3,6,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
11.0,,Indígena,12,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
11.0,,Rom (Gitano),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
11.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
11.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
11.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",13,8,5,0,8,5,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
11.0,,Ninguno de las anteriores,5128,2595,2532,1,2590,2526,1,2,0,0,3,6,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
11.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
13.0,13 Bolívar,Total,2830,1459,1371,0,1221,1181,0,152,116,0,86,74,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
13.0,,Indígena,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
13.0,,Rom (Gitano),1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
13.0,,Raizal del archipiélago de San Andrés y Providencia,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
13.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
13.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",81,37,44,0,30,37,0,5,5,0,2,2,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
13.0,,Ninguno de las anteriores,2746,1420,1326,0,1189,1144,0,147,110,0,84,72,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
13.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,15 Boyacá,Total,981,491,490,0,272,288,0,28,16,0,191,186,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,,Indígena,3,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
