columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen,cuadro
,,"Año Corrido 2022, preliminar - (Nacimientos ocurridos y reportados por la fuente, entre el 1 de enero y el 31 de enero de 2022)",,,,,,,,,,,,,2022,nacimientos,Cuadro6A,cuadro6a
,,Volver al índice,Departamento,,,,Municipio,,,,,,,,2022,nacimientos,Cuadro6A,cuadro6a
,,"Departamento, municipio y área de residencia de la madre",,,Total,Peso en gramos,,,,,,,,,2022,nacimientos,Cuadro6A,cuadro6a
,,,,,,Menos de 1.000,1.000 - 1.499,1.500 - 1.999,2.000 - 2.499,2.500 - 2.999,3.000 - 3.499,3.500 - 3.999,4.000 y más,Sin información,2022,nacimientos,Cuadro6A,cuadro6a
3.0,3000.0,Total Nacional,,Total,46942,179,355,869,3393,13901,19815,7402,1014,14,2022,nacimientos,Cuadro6A,cuadro6a
3.0,3000.0,,,Cabecera municipal,35410,132,263,658,2602,10478,14965,5561,750,1,2022,nacimientos,Cuadro6A,cuadro6a
3.0,3000.0,,,Centro poblado,3256,12,20,66,236,927,1392,544,58,1,2022,nacimientos,Cuadro6A,cuadro6a
3.0,3000.0,,,Rural disperso,7724,31,67,136,519,2348,3216,1207,188,12,2022,nacimientos,Cuadro6A,cuadro6a
3.0,3000.0,,,Sin información,552,4,5,9,36,148,242,90,18,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5000.0,05 Antioquia,Total Dpto,Total,5482,16,40,98,438,1663,2320,798,109,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5000.0,,,Cabecera municipal,4097,14,32,62,315,1250,1736,602,86,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5000.0,,,Centro poblado,391,0,2,11,34,113,163,62,6,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5000.0,,,Rural disperso,994,2,6,25,89,300,421,134,17,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5001.0,,05001 Medellín,Total,1844,6,13,27,149,586,777,256,30,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5001.0,,,Cabecera municipal,1802,6,13,27,144,572,759,251,30,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5001.0,,,Centro poblado,18,0,0,0,2,8,5,3,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5001.0,,,Rural disperso,24,0,0,0,3,6,13,2,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5001.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5002.0,,05002 Abejorral,Total,16,0,0,1,0,5,10,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5002.0,,,Cabecera municipal,5,0,0,0,0,1,4,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5002.0,,,Centro poblado,3,0,0,1,0,1,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5002.0,,,Rural disperso,8,0,0,0,0,3,5,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5002.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5004.0,,05004 Abriaquí,Total,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5004.0,,,Cabecera municipal,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5004.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5004.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5004.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5021.0,,05021 Alejandría,Total,2,0,0,0,0,0,0,2,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5021.0,,,Cabecera municipal,2,0,0,0,0,0,0,2,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5021.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5021.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
