coddepartamento,departamento,codmunicipio,municipio,indicador,a_o,valor_indicador
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE NACIDOS VIVOS DE MUJERES MENORES DE 15 AÑOS  DONDE EL PADRE ES MAYOR 4 O MÁS AÑOS DE EDAD,2006,100
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE NACIDOS VIVOS DE MUJERES MENORES DE 15 AÑOS  DONDE EL PADRE ES MAYOR 4 O MÁS AÑOS DE EDAD,2007,100
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE NACIDOS VIVOS DE MUJERES MENORES DE 15 AÑOS  DONDE EL PADRE ES MAYOR 4 O MÁS AÑOS DE EDAD,2008,100
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE NACIDOS VIVOS DE MUJERES MENORES DE 15 AÑOS  DONDE EL PADRE ES MAYOR 4 O MÁS AÑOS DE EDAD,2009,100
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE NACIDOS VIVOS DE MUJERES MENORES DE 15 AÑOS  DONDE EL PADRE ES MAYOR 4 O MÁS AÑOS DE EDAD,2013,100
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE NACIDOS VIVOS DE MUJERES MENORES DE 15 AÑOS  DONDE EL PADRE ES MAYOR 4 O MÁS AÑOS DE EDAD,2017,100
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE NACIDOS VIVOS DE MUJERES MENORES DE 15 AÑOS  DONDE EL PADRE ES MAYOR 4 O MÁS AÑOS DE EDAD,2018,100
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE NACIDOS VIVOS DE MUJERES MENORES DE 15 AÑOS  DONDE EL PADRE ES MAYOR 4 O MÁS AÑOS DE EDAD,2019,100
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2005,55.97014925
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2006,61.70212766
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2007,62.59541985
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2008,51.19047619
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2009,51.38888889
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2010,32.14285714
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2011,89.58333333
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2012,58.69565217
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2013,40.90909091
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2014,66.66666667
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2015,40
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2016,76.47058824
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2017,70.49180328
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2018,79.16666667
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2019,73.91304348
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS ATENDIDOS POR PERSONAL CALIFICADO,2020,58.82352941
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS INSTITUCIONALES,2005,54.61538462
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS INSTITUCIONALES,2006,60.71428571
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS INSTITUCIONALES,2007,60.90225564
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS INSTITUCIONALES,2008,51.19047619
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS INSTITUCIONALES,2009,48.61111111
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS INSTITUCIONALES,2010,37.03703704
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS INSTITUCIONALES,2011,79.24528302
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS INSTITUCIONALES,2012,54
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS INSTITUCIONALES,2013,24.32432432
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS INSTITUCIONALES,2014,60
86,Putumayo,86569,Puerto Caicedo,PORCENTAJE DE PARTOS INSTITUCIONALES,2015,40
