departamento,clase_prestador,naturaleza,a_o,cantidad_de_prestadores
Amazonas,Instituciones - IPS,Privada,2017,12
Amazonas,Instituciones - IPS,Privada,2018,12
Amazonas,Instituciones - IPS,Privada,2019,12
Amazonas,Instituciones - IPS,Privada,2020,11
Amazonas,Instituciones - IPS,Pública,2017,2
Amazonas,Instituciones - IPS,Pública,2018,2
Amazonas,Instituciones - IPS,Pública,2019,2
Amazonas,Instituciones - IPS,Pública,2020,2
Amazonas,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2017,3
Amazonas,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2018,3
Amazonas,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2019,2
Amazonas,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2020,1
Amazonas,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2017,1
Amazonas,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2018,1
Amazonas,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2019,1
Amazonas,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2020,1
Amazonas,Profesional Independiente,Privada,2017,38
Amazonas,Profesional Independiente,Privada,2018,36
Amazonas,Profesional Independiente,Privada,2019,41
Amazonas,Profesional Independiente,Privada,2020,42
Antioquia,Instituciones - IPS,Mixta,2017,3
Antioquia,Instituciones - IPS,Mixta,2018,3
Antioquia,Instituciones - IPS,Mixta,2019,4
Antioquia,Instituciones - IPS,Mixta,2020,4
Antioquia,Instituciones - IPS,Privada,2017,812
Antioquia,Instituciones - IPS,Privada,2018,815
Antioquia,Instituciones - IPS,Privada,2019,827
Antioquia,Instituciones - IPS,Privada,2020,838
Antioquia,Instituciones - IPS,Pública,2017,126
Antioquia,Instituciones - IPS,Pública,2018,126
Antioquia,Instituciones - IPS,Pública,2019,125
Antioquia,Instituciones - IPS,Pública,2020,125
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2017,4
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2018,4
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2019,3
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2020,3
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2017,302
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2018,304
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2019,311
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2020,337
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2017,10
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2018,10
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2019,10
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2020,10
Antioquia,Profesional Independiente,Privada,2017,6732
Antioquia,Profesional Independiente,Privada,2018,7505
Antioquia,Profesional Independiente,Privada,2019,8138
Antioquia,Profesional Independiente,Privada,2020,8867
Antioquia,Transporte Especial de Pacientes,Privada,2017,30
Antioquia,Transporte Especial de Pacientes,Privada,2018,32
Antioquia,Transporte Especial de Pacientes,Privada,2019,31
Antioquia,Transporte Especial de Pacientes,Privada,2020,32
Arauca,Instituciones - IPS,Mixta,2017,1
Arauca,Instituciones - IPS,Mixta,2018,1
Arauca,Instituciones - IPS,Mixta,2019,1
Arauca,Instituciones - IPS,Mixta,2020,1
Arauca,Instituciones - IPS,Privada,2017,59
Arauca,Instituciones - IPS,Privada,2018,54
Arauca,Instituciones - IPS,Privada,2019,55
Arauca,Instituciones - IPS,Privada,2020,57
Arauca,Instituciones - IPS,Pública,2017,5
Arauca,Instituciones - IPS,Pública,2018,5
Arauca,Instituciones - IPS,Pública,2019,5
Arauca,Instituciones - IPS,Pública,2020,5
Boyacá,Profesional Independiente,Privada,2017,972
Arauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2017,7
Arauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2018,10
Arauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2019,9
Arauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2020,10
Arauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2017,1
Arauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2018,1
Arauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2019,1
Arauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2020,1
Arauca,Profesional Independiente,Privada,2017,135
Arauca,Profesional Independiente,Privada,2018,145
Arauca,Profesional Independiente,Privada,2019,158
Arauca,Profesional Independiente,Privada,2020,155
Arauca,Transporte Especial de Pacientes,Privada,2017,2
Arauca,Transporte Especial de Pacientes,Privada,2018,2
Arauca,Transporte Especial de Pacientes,Privada,2019,2
Arauca,Transporte Especial de Pacientes,Privada,2020,3
Atlántico,Instituciones - IPS,Mixta,2017,2
Atlántico,Instituciones - IPS,Mixta,2018,1
Atlántico,Instituciones - IPS,Mixta,2019,2
Atlántico,Instituciones - IPS,Mixta,2020,2
Atlántico,Instituciones - IPS,Privada,2017,764
Atlántico,Instituciones - IPS,Privada,2018,788
Atlántico,Instituciones - IPS,Privada,2019,805
Atlántico,Instituciones - IPS,Privada,2020,790
Atlántico,Instituciones - IPS,Pública,2017,27
Atlántico,Instituciones - IPS,Pública,2018,27
Atlántico,Instituciones - IPS,Pública,2019,27
Atlántico,Instituciones - IPS,Pública,2020,27
Atlántico,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2017,21
Atlántico,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2018,26
Atlántico,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2019,23
Atlántico,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2020,25
Atlántico,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2017,2
Atlántico,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2018,4
Atlántico,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2019,3
Atlántico,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2020,3
Atlántico,Profesional Independiente,Privada,2017,1281
Atlántico,Profesional Independiente,Privada,2018,1477
Atlántico,Profesional Independiente,Privada,2019,1631
Atlántico,Profesional Independiente,Privada,2020,1766
Atlántico,Transporte Especial de Pacientes,Privada,2017,14
Atlántico,Transporte Especial de Pacientes,Privada,2018,12
Atlántico,Transporte Especial de Pacientes,Privada,2019,13
Atlántico,Transporte Especial de Pacientes,Privada,2020,12
Atlántico,Transporte Especial de Pacientes,Pública,2019,1
Atlántico,Transporte Especial de Pacientes,Pública,2020,1
Bogotá D.C,Instituciones - IPS,Mixta,2017,2
Bogotá D.C,Instituciones - IPS,Mixta,2018,2
Bogotá D.C,Instituciones - IPS,Mixta,2019,1
Bogotá D.C,Instituciones - IPS,Mixta,2020,1
Bogotá D.C,Instituciones - IPS,Privada,2017,1599
Bogotá D.C,Instituciones - IPS,Privada,2018,1538
Bogotá D.C,Instituciones - IPS,Privada,2019,1498
Bogotá D.C,Instituciones - IPS,Privada,2020,1529
Bogotá D.C,Instituciones - IPS,Pública,2017,9
Bogotá D.C,Instituciones - IPS,Pública,2018,9
Bogotá D.C,Instituciones - IPS,Pública,2019,9
Bogotá D.C,Instituciones - IPS,Pública,2020,9
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2017,2
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2018,2
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2019,3
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2020,3
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2017,251
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2018,268
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2019,264
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2020,261
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2017,26
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2018,23
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2019,18
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2020,18
Bogotá D.C,Profesional Independiente,Privada,2017,10821
Bogotá D.C,Profesional Independiente,Privada,2018,11652
Bogotá D.C,Profesional Independiente,Privada,2019,12220
Bogotá D.C,Profesional Independiente,Privada,2020,12838
Bogotá D.C,Transporte Especial de Pacientes,Privada,2017,31
Bogotá D.C,Transporte Especial de Pacientes,Privada,2018,29
Bogotá D.C,Transporte Especial de Pacientes,Privada,2019,28
Bogotá D.C,Transporte Especial de Pacientes,Privada,2020,29
Bolívar,Instituciones - IPS,Privada,2017,475
Bolívar,Instituciones - IPS,Privada,2018,494
Bolívar,Instituciones - IPS,Privada,2019,508
Bolívar,Instituciones - IPS,Privada,2020,532
Bolívar,Instituciones - IPS,Pública,2017,43
Bolívar,Instituciones - IPS,Pública,2018,43
Bolívar,Instituciones - IPS,Pública,2019,43
Bolívar,Instituciones - IPS,Pública,2020,43
Bolívar,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2017,2
Bolívar,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2018,2
Bolívar,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2019,2
Bolívar,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2020,2
Bolívar,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2017,49
Bolívar,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2018,50
Bolívar,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2019,44
Bolívar,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2020,46
Bolívar,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2017,4
Bolívar,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2018,4
Bolívar,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2019,5
Bolívar,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2020,5
Bolívar,Profesional Independiente,Privada,2017,958
Bolívar,Profesional Independiente,Privada,2018,1007
Bolívar,Profesional Independiente,Privada,2019,1051
Bolívar,Profesional Independiente,Privada,2020,1124
Bolívar,Transporte Especial de Pacientes,Privada,2017,14
Bolívar,Transporte Especial de Pacientes,Privada,2018,12
Bolívar,Transporte Especial de Pacientes,Privada,2019,11
Bolívar,Transporte Especial de Pacientes,Privada,2020,11
Boyacá,Instituciones - IPS,Privada,2017,239
Boyacá,Instituciones - IPS,Privada,2018,245
Boyacá,Instituciones - IPS,Privada,2019,241
Boyacá,Instituciones - IPS,Privada,2020,253
Boyacá,Instituciones - IPS,Pública,2017,105
Boyacá,Instituciones - IPS,Pública,2018,105
Boyacá,Instituciones - IPS,Pública,2019,105
Boyacá,Instituciones - IPS,Pública,2020,105
Boyacá,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2017,1
Boyacá,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2018,1
Boyacá,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2017,46
Boyacá,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2018,48
Boyacá,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2019,42
Boyacá,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2020,43
Boyacá,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2017,3
Boyacá,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2018,2
Boyacá,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2019,2
Boyacá,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2020,2
Boyacá,Profesional Independiente,Privada,2018,1025
Boyacá,Profesional Independiente,Privada,2019,1099
Boyacá,Profesional Independiente,Privada,2020,1177
Boyacá,Transporte Especial de Pacientes,Privada,2017,7
