nombre,href,descripcion,tipo_norma,tematica,subtema,publicacion
Resolucion No 010 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 010 de 2026.pdf,"Por la cual se establece el procedimiento y las especificaciones operativas para el reporte, verificación, reconocimiento y  ordenación del giro de la remuneración mensual y de la afiliación al Sistema de la Seguridad Social Integral de los internos de medicina y se dictan otras disposiciones.

Publicada en el Diario Oficial No. 53.400 con fecha 16 de febrero de 2026.",Resolución,Salud,,2026-01-06T05:00:00Z
Resolucion No 108 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 108 de 2026.pdf,"Por la cual se definen los criterios para el despliegue de Equipos Básicos de Salud (EBS) - Interculturales con enfoque indígena en el marco de la Atención Primaria en Salud Propia e Intercultural.

Publicada en el Diario Oficial No. 53.400 con fecha 16 de febrero de 2026.",Resolución,Salud,,2026-01-26T05:00:00Z
Resolucion No 115 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 115 de 2026.pdf,"Por la cual se modifica parcialmente la Resolución 2350 de 2020 y su anexo técnico “lineamiento técnico para el manejo integral de la desnutrición aguda, moderada y severa en niños de cero (0) a 59 meses de edad”, y se dictan otras disposiciones.

Publicada en el Diario Oficial No. 53.400 con fecha 16 de febrero de 2026.",Resolución,Salud,,2026-01-27T05:00:00Z
Resolucion No 116 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 116 de 2026.pdf,"Por la cual se modifica el artículo 4 y los anexos técnicos adoptados en el artículo 2 de la Resolución 315 de 2020, para actualizar los listados de estupefacientes, psicotrópicos, precursores y demás sustancias sometidas a fiscalización,.de aquellas clasificadas como monopolio del Estado y de los medicamentos de control especial de uso humano y veterinario, y se dictan otras disposiciones

Publicada Diario Oficial No. 53.396, con fecha 12 de febrero de 2026.",Resolución,Salud,,2026-01-27T05:00:00Z
Resolucion No 117 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 117 de 2026.pdf,"Por medio de la cual se actualiza el Anexo Técnico 1 de la Resolución 207 de 2024 “Por la cual se adoptan los lineamientos técnicos y operativos para el Programa de Tamizaje Neonatal.

Publicada en el Diario Oficial No. 53.400 con fecha 16 de febrero de 2026.",Resolución,Salud,,2026-01-27T05:00:00Z
Resolucion No 118 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 118 de 2026.pdf,"Por la cual se modifica el anexo 1 y el anexó 2 de la Resolución 986 de 2023, en virtud de la cual se establecieron los lineamientos para la aplicación de las vacunas contra la COVID-19

Publicada en el Diario Oficial No. 53.400 con fecha 16 de febrero de 2026.",Resolución,Salud,,2026-01-27T05:00:00Z
Resolucion No 119 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 119 de 2026.pdf,"Por la cual se adopta el Plan Nacional de Eliminación y Sostenimiento de la Eliminación de Enfermedades Transmisibles y Condiciones Prioritarias, y se dictan otras disposiciones

Publicada en el Diario Oficial No. 53.400 con fecha 16 de febrero de 2026.",Resolución,Salud,,2026-01-27T05:00:00Z
Resolucion No 157 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 157 de 2026.pdf,Por la cual se adopta la Politica de Prevencion del Daño Antijuridico del MSPS para las vigencias 2026 - 2027,Resolución,Salud,,2026-01-29T05:00:00Z
Resolucion No 196 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 196 de 2026.pdf,"Por la cual se modifica el Formulario Único de Afiliación y Reporte de Novedades al Sistema General de Riesgos Laborales de la Resolución 413 de 2025

Publicada en el Diario Oficial No. 53.390, con fecha 6 de febrero de 2026.",Resolución,Salud,,2026-02-04T05:00:00Z
Resolucion No 197 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 197 de 2026.pdf,"Por la cual se prohíbe en el territorio nacional la importación, fabricación, comercialización y uso del ingrediente activo Bromuro de Metilo, al igual que los productos plaguicidas que lo contengan y se dictan otras disposiciones

Publicada en el Diario Oficial No. 53.390, con fecha 6 de febrero de 2026.",Resolución,Salud,,2026-02-04T05:00:00Z
Resolucion No 199 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 199 de 2026.pdf,"Por medio de la cual se modifican los artículos 7o y 8o de la Resolución 166 de 2021 ( modificada por la Resolución 2332 de 2023.

Publicada en el Diario Oficial No. 53.390, con fecha 6 de febrero de 2026.",Resolución,Salud,,2026-02-04T05:00:00Z
Concepto Jurídico 2025423003216142 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2025423003216142 de 2026.pdf,Concepto Jurídico 2025423003216142 de 2026,Concepto,Salud,,
Concepto Jurídico 2025423004704442 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2025423004704442 de 2026.pdf,Concepto Jurídico 2025423004704442 de 2026,Concepto,Salud,,
Concepto Jurídico 2025423004870682 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2025423004870682 de 2026.pdf,Concepto Jurídico 2025423004870682 de 2026,Concepto,Salud,,
Concepto Jurídico 2026423000028002 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2026423000028002 de 2026.pdf,Concepto Jurídico 2026423000028002 de 2026,Concepto,Salud,,
Resolucion No 228 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 228 de 2026.pdf,"Por la cual se adopta el Plan Integral de Gestión del Cambio Climático del Sector Salud (PIGCCS Salud) 2026-2035 y se dictan otras disposiciones

Publicada en el Diario Oficial No. 53.395, con fecha 11 de febrero de 2026.",Resolución,Salud,,2026-02-10T05:00:00Z
Resolucion No 276 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 276 de 2026.pdf,"Por la cual se establecen los requisitos sanitarios que debe cumplir el agua potable tratada envasada y el hielo, para consumo humano en el territorio nacional y, se deroga la Resolución 12186 de 1991

Publicada en el Diario Oficial No. 53.401, con fecha 17 de febrero de 2026",Resolución,Salud,,2026-02-16T05:00:00Z
Resolucion No 234 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 234 de 2026.pdf,"Por la cual se establecen los criterios de calidad del agua contenida en los estanques de piscinas y estructuras similares, buenas prácticas sanitarias y se adoptan otras disposiciones

Publicada en el Diario Oficial No. 53.395, con fecha 11 de febrero de 2026.",Resolución,Salud,,2026-02-10T05:00:00Z
Resolucion No 347 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 347 de 2026.pdf,"Por medio de la cual se establece la Estrategia Nacional para el Cuidado Integral de la Salud en personas con conducta suicida, se emiten directrices para su implementación en el territorio nacional, y se dictan otras disposiciones.

Publicada en el Diario Oficial No. 53.412, con fecha 27 de febrero de 2026",Resolución,Salud,,2026-02-26T05:00:00Z
Resolucion No 373 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 373 de 2026.pdf,"Por la cual se adopta la herramienta de reporte de información en la atención del servicio de urgencias

Publicada en el Diario Oficial No. 53.415, con fecha 2 de marzo de 2026.",Resolución,Salud,,2026-03-02T05:00:00Z
Resolucion No 418 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 418 de 2026.pdf,"Por la cual se prórroga el término de apoyo contenido en la Resolución No. 1912 del 18 de septiembre del 2025, para la gestión y los trámites necesarios tendientes a lograr la organización y puesta en funcionamiento del Hospital Universitario San Juan de Dios y Materno Infantil

Publicada en el Diario Oficial No. 53.423, con fecha 10 de marzo de 2026.",Resolución,Salud,,2026-03-09T05:00:00Z
Concepto Jurídico 202642400081572 ID 1571776.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 202642400081572 ID 1571776.pdf,Concepto Jurídico 202642400081572 ID 1571776,Concepto,Salud,,
Concepto Jurídico 202642400083892 ID 1572119.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 202642400083892 ID 1572119.pdf,Concepto Jurídico 202642400083892 ID 1572119.,Concepto,Salud,,
Concepto Jurídico 202642400628832 ID 1682434.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 202642400628832 ID 1682434.pdf,Concepto Jurídico 202642400628832 ID 1682434,Concepto,Salud,,
Concepto Jurídico 2026423000058392 ID 1566795.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2026423000058392 ID 1566795.pdf,Concepto Jurídico 2026423000058392 ID 1566795,Concepto,Salud,,
